Player,Nationality,Position,Club,Age,Born,90s,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (LiveBall),Take-ons attempted,Take-ons completed,successful takeon (%),Times tackled during takeon,Times tackled during takeon (%),Carries,Total carrying distance,Progressive carrying distance,Progressive carries,Carries into final third,Carries into penalty area,Miscontrols,Dispossessed,Passes received,Progressive passes received
Aurélien Tchouaméni, FRA,MF,Real Madrid,22,2000,4.8,426,9,80,286,64,8,426,4,3,75.0,1,25.0,293,1637,723,10,5,0,7,4,330,4
Mathys Tel, FRA,FW,Bayern Munich,17,2005,1.6,70,0,11,22,37,9,70,2,0,0.0,2,100.0,48,374,202,8,3,4,3,3,51,15
Alex Telles, BRA,"DF,FW",Sevilla,29,1992,4.3,291,13,76,110,108,5,291,10,3,30.0,3,30.0,126,530,203,10,6,2,7,9,173,34
Marc-André ter Stegen, GER,GK,Barcelona,30,1992,5.0,172,135,169,3,0,0,172,0,0,,0,,102,428,289,0,0,0,0,0,98,0
Kévin Théophile-Catherine, FRA,DF,Dinamo Zagreb,32,1989,0.8,52,8,33,17,2,1,52,0,0,,0,,37,133,30,0,0,0,1,0,31,0
Malick Thiaw, GER,DF,Milan,20,2001,3.1,218,33,112,102,7,4,218,2,1,50.0,1,50.0,116,473,218,1,1,0,2,0,141,0
Mohamed Tijani, BEN,DF,Viktoria Plzeň,25,1997,1.9,90,17,63,23,5,3,90,1,0,0.0,1,100.0,48,270,120,1,0,0,0,0,55,1
Malik Tillman, USA,MF,Rangers,20,2002,2.7,103,7,29,54,24,7,103,12,5,41.7,6,50.0,48,303,110,3,2,2,9,5,50,6
Jurriën Timber, NED,DF,Ajax,21,2001,5.9,474,33,209,242,27,3,474,6,3,50.0,2,33.3,318,1376,765,10,12,1,7,5,369,1
Fikayo Tomori, ENG,DF,Milan,24,1997,9.2,593,64,303,279,15,2,593,2,0,0.0,2,100.0,331,1642,886,10,3,1,2,3,390,0
Sandro Tonali, ITA,MF,Milan,22,2000,11.7,616,19,127,337,157,15,616,16,6,37.5,7,43.8,286,1651,827,18,12,0,10,9,372,30
Pablo Torre, ESP,"MF,FW",Barcelona,19,2003,1.1,88,0,7,56,25,1,88,2,0,0.0,1,50.0,65,257,106,3,3,1,1,1,76,4
Ferrán Torres, ESP,"FW,MF",Barcelona,22,2000,2.1,100,1,4,54,43,13,100,9,4,44.4,5,55.6,84,347,150,3,3,2,3,2,85,17
Andriy Totovytskyi, UKR,MF,Shakhtar,29,1993,0.2,11,1,2,5,4,1,11,2,0,0.0,2,100.0,4,32,0,0,1,0,1,0,6,0
Kevin Trapp, GER,GK,Eint Frankfurt,32,1990,8.0,249,228,249,0,0,0,249,0,0,,0,,137,624,359,0,0,0,0,0,103,0
Francisco Trincão, POR,"MF,FW",Sporting CP,22,1999,4.3,172,5,24,95,56,10,172,15,5,33.3,8,53.3,109,685,282,7,9,1,9,8,122,22
Anatolii Trubin, UKR,GK,Shakhtar,20,2001,6.0,285,265,285,0,0,0,285,0,0,,0,,177,604,362,0,0,0,0,0,157,0
Kostas Tsimikas, GRE,DF,Liverpool,26,1996,3.8,285,11,65,96,125,15,285,12,4,33.3,7,58.3,126,610,264,10,5,5,8,2,139,28
David Turnbull, SCO,MF,Celtic,23,1999,1.1,91,1,7,44,40,0,91,1,0,0.0,1,100.0,65,269,93,2,2,0,0,1,66,6
Tuta, BRA,DF,Eint Frankfurt,23,1999,6.7,408,44,214,170,27,3,408,3,2,66.7,1,33.3,227,1116,441,3,2,0,5,1,239,0
Marián Tvrdoň, SVK,GK,Viktoria Plzeň,27,1994,1.0,55,48,55,0,0,0,55,0,0,,0,,24,150,92,0,0,0,0,0,10,0
Manuel Ugarte Ribeiro, URU,MF,Sporting CP,21,2001,5.2,318,10,93,203,26,0,318,15,10,66.7,3,20.0,178,812,333,3,3,0,8,15,186,4
Andreas Ulmer, AUT,DF,RB Salzburg,36,1985,4.2,228,16,66,96,68,4,228,3,0,0.0,1,33.3,101,504,214,4,5,1,4,4,105,12
Sven Ulreich, GER,GK,Bayern Munich,33,1988,3.0,119,108,118,1,0,0,119,0,0,,0,,73,303,96,0,0,0,0,0,72,0
Cengiz Ünder, TUR,MF,Marseille,25,1997,1.9,118,0,6,47,65,5,118,3,2,66.7,1,33.3,90,562,194,5,4,2,3,2,86,20
Dayot Upamecano, FRA,DF,Bayern Munich,23,1998,7.9,672,75,332,330,12,1,672,5,4,80.0,0,0.0,511,2724,1563,9,4,0,3,1,524,0
Mateus Uribe, COL,MF,Porto,31,1991,6.8,394,22,99,219,80,8,393,8,5,62.5,2,25.0,243,961,473,5,4,1,10,6,234,9
Enrique Valiente, ESP,DF,Sevilla,20,2002,2.0,166,9,80,77,9,3,166,2,1,50.0,1,50.0,86,265,104,2,1,1,1,0,132,1
Jesús Vallejo, ESP,DF,Real Madrid,25,1997,0.2,21,7,14,6,1,0,21,0,0,,0,,9,53,38,0,0,0,0,0,15,0
Federico Valverde, URU,"MF,FW",Real Madrid,24,1998,10.7,711,17,104,349,268,27,711,20,11,55.0,7,35.0,427,2893,1734,43,31,6,19,7,537,56
Virgil van Dijk, NED,DF,Liverpool,31,1991,8.0,557,50,248,280,31,22,557,1,1,100.0,0,0.0,296,1437,730,5,4,0,2,0,394,1
Hans Vanaken, BEL,MF,Club Brugge,29,1992,7.8,511,14,107,310,98,6,511,8,1,12.5,6,75.0,369,1866,591,8,6,1,5,4,407,28
Denis Vavro, SVK,DF,FC Copenhagen,26,1996,4.0,203,40,128,70,5,1,203,1,1,100.0,0,0.0,69,418,160,1,1,1,1,0,109,0
Lucas Vázquez, ESP,DF,Real Madrid,31,1991,2.2,180,6,34,77,70,5,180,5,2,40.0,3,60.0,98,446,269,8,5,1,4,0,126,19
Jordan Veretout, FRA,MF,Marseille,29,1993,5.4,452,10,56,317,84,3,452,4,1,25.0,3,75.0,352,1745,857,8,10,0,3,3,326,16
Lucas Veríssimo, BRA,DF,Benfica,27,1995,0.1,6,2,5,1,0,0,6,0,0,,0,,4,23,1,0,0,0,0,0,2,0
Gabriel Veron, BRA,"MF,FW",Porto,19,2002,0.5,26,0,3,11,12,2,26,1,0,0.0,1,100.0,18,113,85,3,2,0,4,0,16,6
Marco Verratti, ITA,MF,Paris S-G,29,1992,6.9,749,21,172,452,132,5,749,18,11,61.1,5,27.8,618,3206,1549,12,23,0,4,9,584,12
Vitinha, POR,MF,Paris S-G,22,2000,6.5,496,10,107,287,109,10,496,14,8,57.1,3,21.4,417,2206,941,11,22,1,16,10,385,16
