Player,Nationality,Position,Club,Age,Born,90s,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (LiveBall),Take-ons attempted,Take-ons completed,successful takeon (%),Times tackled during takeon,Times tackled during takeon (%),Carries,Total carrying distance,Progressive carrying distance,Progressive carries,Carries into final third,Carries into penalty area,Miscontrols,Dispossessed,Passes received,Progressive passes received
Ronald Araújo, URU,DF,Barcelona,23,1999,1.0,63,8,28,32,3,1,63,0,0,,0,,41,320,259,0,0,0,1,0,47,0
Scott Arfield, CAN,MF,Rangers,33,1988,3.0,112,3,20,50,42,7,112,1,0,0.0,1,100.0,58,210,92,1,0,0,6,1,65,9
Hákon Arnar Haraldsson, ISL,FW,FC Copenhagen,19,2003,3.3,127,4,24,54,50,5,127,6,4,66.7,2,33.3,67,340,194,5,3,1,7,2,91,14
Kepa Arrizabalaga, ESP,GK,Chelsea,27,1994,9.0,288,233,283,5,0,0,288,0,0,,0,,202,914,542,0,0,0,0,0,152,0
Arthur, BRA,"MF,FW",Sporting CP,24,1998,1.2,57,3,10,32,16,4,57,4,2,50.0,1,25.0,33,242,138,5,0,2,1,6,41,9
Marco Asensio, ESP,"FW,MF",Real Madrid,26,1996,3.6,237,2,19,98,122,16,237,3,1,33.3,1,33.3,138,818,373,12,7,3,5,3,185,15
Kristjan Asllani, ALB,MF,Inter,20,2002,1.4,88,11,26,43,19,1,88,1,1,100.0,0,0.0,44,241,73,0,1,0,1,1,51,2
Omer Atzili, ISR,"FW,MF",Maccabi Haifa,29,1993,3.4,163,2,13,63,88,11,163,10,3,30.0,5,50.0,119,609,276,6,10,3,9,5,118,28
Pierre-Emerick Aubameyang, GAB,FW,Chelsea,33,1989,4.5,140,1,8,59,73,28,140,0,0,,0,,96,437,188,8,7,4,12,5,103,31
Lynnt Audoor, BEL,MF,Club Brugge,18,2003,0.1,7,0,0,3,4,0,7,0,0,,0,,4,21,14,0,1,0,0,0,5,1
Fredrik Aursnes, NOR,"FW,MF",Benfica,26,1995,6.9,433,14,68,228,139,29,433,9,4,44.4,4,44.4,277,1336,577,12,10,3,8,2,307,45
Sardar Azmoun, IRN,FW,Leverkusen,27,1995,0.1,3,0,0,1,2,0,3,1,1,100.0,0,0.0,2,28,16,1,1,0,0,0,3,1
César Azpilicueta, ESP,DF,Chelsea,32,1989,2.9,312,12,83,175,57,2,312,4,1,25.0,1,25.0,207,870,477,4,6,1,2,0,222,15
Youri Baas, NED,DF,Ajax,19,2003,0.5,32,1,5,19,8,2,32,0,0,,0,,16,42,25,0,0,0,1,0,23,3
Alexander Bah, DEN,DF,Benfica,24,1997,7.3,607,24,151,296,165,9,607,17,8,47.1,8,47.1,355,1808,1078,16,23,0,7,0,390,34
Eric Bailly, CIV,DF,Marseille,28,1994,3.4,238,20,101,134,3,0,238,2,1,50.0,0,0.0,180,962,414,0,1,0,2,1,156,0
Stefan Bajcetic, ESP,MF,Liverpool,17,2004,1.2,95,1,16,57,24,0,95,2,1,50.0,1,50.0,52,275,66,0,1,0,3,2,68,1
Mitchel Bakker, NED,"MF,DF",Leverkusen,22,2000,3.8,252,11,74,104,74,9,252,10,5,50.0,3,30.0,133,604,303,9,7,3,8,3,172,32
Alejandro Balde, ESP,DF,Barcelona,18,2003,1.9,162,3,38,64,62,6,162,8,5,62.5,2,25.0,115,708,414,15,8,2,5,5,121,17
Leonardo Balerdi, ARG,DF,Marseille,23,1999,5.5,420,24,133,254,37,6,420,1,0,0.0,0,0.0,314,1596,869,6,14,0,6,1,277,3
Fodé Ballo-Touré, SEN,"DF,MF",Milan,25,1997,1.5,89,3,19,54,16,2,89,2,1,50.0,1,50.0,58,239,91,3,1,0,1,1,51,7
Tommaso Barbieri, ITA,MF,Juventus,19,2002,0.0,8,0,1,5,2,1,8,0,0,,0,,5,52,50,4,1,1,0,0,4,2
Roony Bardghji, SWE,FW,FC Copenhagen,16,2005,1.1,35,1,4,15,17,3,35,5,2,40.0,2,40.0,21,115,49,1,0,1,3,1,23,7
Nicolò Barella, ITA,MF,Inter,25,1997,11.0,537,17,111,233,204,20,537,18,8,44.4,8,44.4,340,2153,1259,36,31,3,27,12,357,37
Borna Barišić, CRO,DF,Rangers,29,1992,5.2,302,20,114,132,61,0,302,2,0,0.0,2,100.0,158,595,240,5,4,0,1,2,188,13
Enzo Barrenechea, ARG,DF,Juventus,21,2001,0.0,5,0,1,2,2,0,5,0,0,,0,,4,29,8,0,0,0,0,0,4,0
Pablo Barrios, ESP,MF,Atlético Madrid,19,2003,0.1,8,0,0,4,4,0,8,2,1,50.0,1,50.0,8,30,16,1,0,0,0,2,10,0
Calvin Bassey, NGA,DF,Ajax,22,1999,6.0,506,69,258,220,31,2,506,13,5,38.5,3,23.1,321,1267,625,3,1,0,5,1,356,8
Fortune Bassey, NGA,FW,Viktoria Plzeň,23,1998,1.5,37,0,0,17,21,5,37,1,0,0.0,0,0.0,30,209,59,2,1,0,3,4,30,5
Alessandro Bastoni, ITA,DF,Inter,23,1999,10.9,710,114,354,281,76,6,710,5,2,40.0,1,20.0,423,2033,1293,18,22,0,5,3,479,21
Dylan Batubinsika, COD,DF,Maccabi Haifa,26,1996,5.0,240,39,136,101,3,3,240,0,0,,0,,157,899,466,1,2,0,1,0,145,0
Martin Baturina, CRO,MF,Dinamo Zagreb,19,2003,0.7,47,0,8,25,14,2,47,5,0,0.0,2,40.0,35,268,132,3,0,0,4,1,34,5
Raoul Bellanova, ITA,"DF,MF",Inter,22,2000,1.3,69,3,29,16,24,2,69,3,1,33.3,0,0.0,37,292,131,4,3,0,4,1,45,5
Héctor Bellerín, ESP,DF,Barcelona,27,1995,2.0,116,8,21,67,30,3,116,1,0,0.0,1,100.0,64,308,161,3,5,0,7,1,75,7
Jude Bellingham, ENG,MF,Dortmund,19,2003,7.0,462,23,91,247,125,28,462,31,11,35.5,16,51.6,305,1727,801,16,6,5,18,12,334,22
Ismaël Bennacer, ALG,MF,Milan,24,1997,6.5,436,12,84,274,84,2,436,25,13,52.0,8,32.0,243,1373,589,9,5,0,19,15,261,9
Rodrigo Bentancur, URU,"MF,FW",Tottenham,25,1997,5.6,417,13,83,271,68,5,417,8,6,75.0,1,12.5,258,1257,580,11,8,0,6,3,302,7
Karim Benzema, FRA,FW,Real Madrid,34,1987,8.3,398,8,30,145,226,47,398,17,7,41.2,9,52.9,238,1041,355,12,7,10,11,8,325,44
Steven Berghuis, NED,"MF,FW",Ajax,30,1991,5.1,320,4,26,166,129,7,320,5,1,20.0,3,60.0,210,888,377,6,14,0,9,2,230,15
Steven Bergwijn, NED,FW,Ajax,24,1997,5.8,246,0,15,103,131,19,245,14,5,35.7,7,50.0,193,1072,600,12,10,4,6,9,203,49
Alexandro Bernabei, ARG,FW,Celtic,21,2000,0.1,9,0,2,5,2,0,9,2,1,50.0,1,50.0,5,42,11,0,0,0,0,0,4,1
Bernardo, BRA,DF,RB Salzburg,27,1995,3.0,110,20,62,45,4,4,110,0,0,,0,,43,167,58,0,0,0,0,0,37,0
Juan Bernat, ESP,DF,Paris S-G,29,1993,3.1,223,6,70,104,50,2,223,2,0,0.0,1,50.0,179,848,287,0,9,0,1,2,169,18
Victor Bernth Kristiansen, DEN,"DF,MF",FC Copenhagen,19,2002,5.4,308,21,129,120,62,3,308,8,1,12.5,5,62.5,139,865,396,6,3,0,0,2,181,19
Modou Biramé Ndiaye, SEN,MF,Viktoria Plzeň,25,1996,2.0,87,8,34,45,11,0,87,4,3,75.0,1,25.0,29,109,36,0,0,0,2,2,38,0
Yves Bissouma, MLI,MF,Tottenham,25,1996,1.0,86,4,25,53,8,0,86,1,0,0.0,1,100.0,61,324,101,1,1,0,3,0,58,0
Janis Blaswich, GER,GK,RB Leipzig,31,1991,5.9,280,207,278,2,0,0,280,0,0,,0,,199,670,252,0,0,0,0,0,191,0
Daley Blind, NED,DF,Ajax,32,1990,4.5,383,18,107,202,75,4,383,5,1,20.0,3,60.0,224,655,343,2,2,1,3,4,260,13
Petar Bočkaj, CRO,"DF,FW",Dinamo Zagreb,26,1996,0.4,28,0,1,13,14,3,28,0,0,,0,,22,138,86,3,3,1,2,2,23,6
Nicolai Boilesen, DEN,DF,FC Copenhagen,30,1992,1.1,91,11,45,44,2,0,91,0,0,,0,,57,379,213,0,0,0,0,0,74,0
Valerii Bondar, UKR,DF,Shakhtar,23,1999,6.0,406,104,291,114,1,1,406,1,1,100.0,0,0.0,269,1061,480,2,0,0,1,1,303,0
Artem Bondarenko, UKR,MF,Shakhtar,21,2000,5.4,319,19,146,149,26,5,319,6,1,16.7,3,50.0,208,1099,561,7,5,0,4,5,238,5
Leonardo Bonucci, ITA,DF,Juventus,35,1987,4.9,338,62,162,170,6,1,338,3,2,66.7,1,33.3,218,863,418,0,0,0,1,0,232,0
Gonçalo Borges, POR,"MF,FW",Porto,21,2001,0.4,26,0,5,8,15,2,26,5,2,40.0,3,60.0,19,267,147,8,4,1,2,0,18,7
Rafael Borré, COL,FW,Eint Frankfurt,26,1995,2.5,95,1,8,49,38,9,95,6,1,16.7,5,83.3,60,333,101,3,3,1,5,4,71,10
Yassine Bounou, MAR,GK,Sevilla,31,1991,4.0,224,180,222,2,0,0,224,0,0,,0,,131,621,264,0,0,0,1,0,123,0
Dedryck Boyata, BEL,DF,Club Brugge,31,1990,1.5,97,18,65,30,3,1,97,0,0,,0,,67,254,96,0,1,0,0,0,59,0
Julian Brandt, GER,"MF,FW",Dortmund,26,1996,5.3,293,6,35,131,133,14,293,17,10,58.8,7,41.2,171,1076,559,19,13,4,5,7,209,28
Gleison Bremer, BRA,DF,Juventus,25,1997,3.0,181,33,101,74,8,3,181,1,1,100.0,0,0.0,118,449,231,0,2,0,3,1,119,2
Brian Brobbey, NED,FW,Ajax,20,2002,1.3,31,0,0,19,12,4,31,0,0,,0,,17,60,6,0,2,0,4,0,20,4
Armando Broja, ALB,FW,Chelsea,20,2001,1.3,48,1,1,17,30,5,48,3,1,33.3,2,66.7,38,265,67,2,4,2,6,11,38,11
Marcelo Brozović, CRO,MF,Inter,29,1992,6.1,479,25,154,246,84,3,479,9,5,55.6,4,44.4,301,1478,539,9,12,1,5,9,333,11
Pavel Bucha, CZE,MF,Viktoria Plzeň,24,1998,4.0,166,4,47,80,41,3,166,5,4,80.0,1,20.0,94,454,218,3,2,0,7,10,108,7
Tajon Buchanan, CAN,"DF,MF",Club Brugge,23,1999,5.8,222,9,46,87,91,14,222,33,9,27.3,17,51.5,157,1270,598,22,7,7,12,10,138,35
Marko Bulat, CRO,MF,Dinamo Zagreb,20,2001,0.3,27,4,6,19,2,0,27,0,0,,0,,18,56,23,0,0,0,0,0,19,0
Sergio Busquets, ESP,MF,Barcelona,34,1988,3.2,188,3,21,110,58,5,188,4,1,25.0,0,0.0,86,271,146,2,2,0,3,1,113,5
Aurélio Buta, POR,DF,Eint Frankfurt,25,1997,1.8,80,4,31,29,20,0,80,1,0,0.0,0,0.0,29,176,97,5,3,0,1,2,28,5
Jamie Bynoe-Gittens, ENG,MF,Dortmund,17,2004,0.4,23,1,4,9,10,0,23,5,0,0.0,4,80.0,16,64,21,0,2,0,3,0,14,3
Jovane Cabral, CPV,MF,Sporting CP,24,1998,0.1,11,0,1,3,7,1,11,0,0,,0,,8,29,18,0,0,0,0,1,7,3
Davide Calabria, ITA,DF,Milan,25,1996,5.5,387,22,134,187,68,2,387,4,2,50.0,2,50.0,179,919,504,8,7,0,1,0,217,17
Hakan Çalhanoğlu, TUR,MF,Inter,28,1994,8.9,530,16,135,255,144,5,530,9,4,44.4,2,22.2,295,1328,631,10,6,1,10,11,330,27
Eduardo Camavinga, FRA,"MF,DF",Real Madrid,19,2002,8.0,564,21,161,302,104,8,564,15,7,46.7,2,13.3,331,2020,1041,18,16,3,17,9,409,15
Emre Can, GER,MF,Dortmund,28,1994,6.3,374,20,131,216,32,2,374,8,5,62.5,2,25.0,218,1163,568,6,7,1,14,5,234,2
João Cancelo, POR,DF,Bayern Munich,28,1994,1.4,121,2,27,56,40,0,121,6,4,66.7,2,33.3,89,517,205,4,1,0,1,0,78,10
João Cancelo, POR,DF,Manchester City,28,1994,4.2,464,7,72,212,183,7,464,8,3,37.5,3,37.5,286,1221,630,15,13,2,7,2,353,41
Nicolás Capaldo, ARG,MF,RB Salzburg,24,1997,3.0,128,6,26,56,48,9,128,4,0,0.0,3,75.0,64,368,200,4,6,0,7,4,59,8
Valentin Carboni, ARG,FW,Inter,17,2005,0.2,4,0,0,4,0,0,4,0,0,,0,,3,9,0,0,0,0,2,0,4,0
Fábio Cardoso, POR,DF,Porto,28,1994,4.0,246,28,143,95,9,6,246,1,1,100.0,0,0.0,172,685,364,1,0,0,1,0,177,1
David Carmo, POR,DF,Porto,23,1999,5.0,248,48,154,84,10,5,248,0,0,,0,,158,712,309,0,0,0,0,0,161,2
Carmona, ESP,DF,Sevilla,20,2002,5.0,338,43,166,119,54,7,338,7,5,71.4,2,28.6,194,767,392,5,2,1,3,0,244,20
Yannick Carrasco, BEL,"DF,MF",Atlético Madrid,28,1993,3.0,236,0,29,75,136,14,235,20,8,40.0,10,50.0,141,1041,492,21,10,7,13,6,149,46
Cameron Carter-Vickers, USA,DF,Celtic,24,1997,4.0,331,29,114,209,9,2,331,0,0,,0,,271,1425,901,6,3,0,2,0,267,0
Dani Carvajal, ESP,DF,Real Madrid,30,1992,9.7,721,37,221,299,204,9,721,10,0,0.0,8,80.0,390,1556,724,12,11,0,6,2,481,35
Fabio Carvalho, POR,"MF,FW",Liverpool,19,2002,1.3,78,1,7,34,38,5,78,4,2,50.0,2,50.0,49,250,126,5,3,2,5,2,55,4
Marc Casado, ESP,MF,Barcelona,18,2003,0.3,33,2,6,28,0,0,33,0,0,,0,,19,55,12,0,0,0,0,1,25,0
Dani Ceballos, ESP,MF,Real Madrid,25,1996,1.0,100,2,25,59,16,3,100,7,5,71.4,2,28.6,61,333,123,2,2,0,1,1,77,3
Aleš Čermák, CZE,MF,Viktoria Plzeň,27,1994,0.4,38,0,9,22,8,1,38,0,0,,0,,20,89,44,0,1,0,0,1,24,0
El Chadaille Bitshiabu, FRA,DF,Paris S-G,17,2005,0.5,32,4,14,18,0,0,32,0,0,,0,,25,113,30,0,0,0,1,0,25,0
Trevoh Chalobah, ENG,DF,Chelsea,23,1999,4.9,346,36,143,183,22,6,346,2,1,50.0,0,0.0,247,988,640,6,8,0,4,0,248,1
Timothy Chandler, USA,DF,Eint Frankfurt,32,1990,0.1,7,0,4,2,1,0,7,0,0,,0,,3,9,5,0,0,0,0,0,3,0
Tjaronn Chery, SUR,"MF,FW",Maccabi Haifa,34,1988,6.0,313,3,36,152,131,15,312,11,4,36.4,5,45.5,218,1024,530,17,14,2,15,7,224,44
Federico Chiesa, ITA,FW,Juventus,24,1997,0.2,12,0,0,1,11,2,12,0,0,,0,,9,50,29,1,0,0,0,0,8,5
Ben Chilwell, ENG,"DF,MF",Chelsea,25,1996,6.2,436,14,87,187,173,14,436,12,6,50.0,3,25.0,294,1305,758,15,15,1,15,3,302,39
Chiquinho, POR,MF,Benfica,27,1995,4.5,333,11,63,192,80,8,333,12,7,58.3,3,25.0,230,1221,614,9,9,0,3,4,245,12
Tomáš Chorý, CZE,FW,Viktoria Plzeň,27,1995,4.0,116,6,11,52,53,15,115,4,0,0.0,4,100.0,58,129,23,0,0,0,11,3,82,6
Andreas Christensen, DEN,DF,Barcelona,26,1996,2.4,246,13,71,166,11,2,246,1,1,100.0,0,0.0,184,996,580,4,5,0,1,0,195,1
Viktor Claesson, SWE,"FW,MF",FC Copenhagen,30,1992,5.4,231,13,58,104,72,12,231,8,4,50.0,4,50.0,89,524,257,7,4,2,9,3,145,15
Jonathan Clauss, FRA,DF,Marseille,29,1992,4.6,260,5,41,102,120,8,260,13,7,53.8,6,46.2,174,978,470,11,7,2,7,3,159,26
William Clem, DEN,MF,FC Copenhagen,18,2004,1.9,89,3,23,50,20,1,89,0,0,,0,,44,143,62,0,5,0,1,1,59,1
Sebastián Coates, URU,DF,Sporting CP,31,1990,4.4,246,27,128,117,3,3,246,1,1,100.0,0,0.0,149,437,178,0,0,0,2,2,166,0
Josh Cohen, USA,GK,Maccabi Haifa,29,1992,6.0,164,138,162,2,0,0,164,0,0,,0,,101,510,364,0,0,0,0,0,56,0
Antonio Čolak, CRO,FW,Rangers,28,1993,3.2,62,2,6,43,13,4,62,0,0,,0,,25,74,40,1,1,0,5,5,35,3
Kingsley Coman, FRA,"FW,DF",Bayern Munich,26,1996,5.9,367,3,35,128,211,35,367,33,17,51.5,11,33.3,266,1917,1087,36,19,10,15,15,282,98
Francisco Conceição, POR,"FW,MF",Ajax,19,2002,0.2,19,2,4,11,4,1,19,0,0,,0,,15,76,30,1,0,1,1,1,13,4
Rodrigo Conceição, POR,DF,Porto,22,2000,0.1,7,1,5,1,1,0,7,0,0,,0,,4,5,2,0,0,0,0,0,4,0
Andreas Cornelius, DEN,FW,FC Copenhagen,29,1993,1.2,40,1,5,19,17,8,40,0,0,,0,,10,32,16,1,1,0,4,2,32,2
Pierre Cornud, FRA,DF,Maccabi Haifa,25,1996,4.1,244,15,76,94,75,2,244,8,4,50.0,4,50.0,159,887,410,11,13,1,2,3,156,18
Ángel Correa, ARG,"FW,MF",Atlético Madrid,27,1995,3.5,154,0,18,42,94,22,154,10,4,40.0,5,50.0,109,418,183,7,7,3,6,9,118,28
Joaquín Correa, ARG,FW,Inter,27,1994,3.4,121,1,11,56,59,15,121,15,8,53.3,5,33.3,84,412,173,3,4,2,4,10,101,16
Bruno Xavier Almeida Costa, POR,MF,Porto,25,1997,0.8,27,1,3,16,8,0,27,0,0,,0,,18,79,17,0,0,0,2,0,16,0
Diogo Costa, POR,GK,Porto,22,1999,8.0,400,341,400,0,0,0,400,0,0,,0,,303,1246,728,0,0,0,0,0,246,0
Soumaïla Coulibaly, FRA,DF,Dortmund,18,2003,0.2,18,1,5,13,0,0,18,0,0,,0,,12,79,59,1,0,0,1,0,13,1
Thibaut Courtois, BEL,GK,Real Madrid,30,1992,10.0,400,367,400,0,0,0,400,0,0,,0,,286,1348,723,0,0,0,1,0,234,0
Juan Cuadrado, COL,"DF,MF",Juventus,34,1988,4.8,346,10,71,153,126,11,346,20,6,30.0,11,55.0,203,1127,468,12,6,6,6,6,223,36
Marc Cucurella, ESP,DF,Chelsea,24,1998,4.6,410,11,130,185,98,5,410,6,1,16.7,4,66.7,267,1167,642,6,7,0,2,0,246,21
Matheus Cunha, BRA,"FW,MF",Atlético Madrid,23,1999,1.4,53,0,0,16,38,10,53,6,4,66.7,1,16.7,38,263,128,4,2,1,6,4,36,12
Danilo D'Ambrosio, ITA,DF,Inter,33,1988,1.8,124,11,47,52,25,6,124,3,1,33.3,2,66.7,63,262,83,1,3,0,3,2,73,2
Danilo, BRA,DF,Juventus,31,1991,4.7,316,26,109,156,53,3,316,7,5,71.4,1,14.3,167,848,451,5,12,2,1,1,214,7
Arnaut Danjuma, NED,MF,Tottenham,25,1997,0.1,3,0,0,1,2,0,3,0,0,,0,,3,10,0,0,0,0,0,0,3,0
Mohammed Daramy, DEN,FW,FC Copenhagen,20,2002,4.9,186,1,22,74,98,21,186,32,12,37.5,15,46.9,113,1172,793,26,13,10,9,8,133,32
Matteo Darmian, ITA,DF,Inter,32,1989,9.1,441,54,246,151,47,6,441,1,1,100.0,0,0.0,249,977,421,6,5,1,2,1,264,15
Dean David, ISR,"FW,DF",Maccabi Haifa,26,1996,2.6,71,1,8,25,42,13,71,10,7,70.0,2,20.0,45,327,215,7,5,3,1,3,48,17
Alphonso Davies, CAN,DF,Bayern Munich,21,2000,6.7,516,32,173,206,156,24,516,39,23,59.0,14,35.9,322,2097,1111,32,18,10,25,13,324,55
Ben Davies, WAL,DF,Tottenham,29,1993,4.4,265,19,79,157,31,2,265,3,2,66.7,1,33.3,165,860,463,8,5,0,4,0,182,8
Ben Davies, ENG,DF,Rangers,26,1995,2.9,179,26,92,84,4,1,179,0,0,,0,,124,641,279,2,0,0,0,0,120,0
Steven Davis, NIR,MF,Rangers,37,1985,2.8,131,5,37,77,20,3,131,1,0,0.0,1,100.0,68,298,125,2,2,1,2,0,75,1
Kevin De Bruyne, BEL,MF,Manchester City,31,1991,8.0,499,7,43,201,259,15,499,19,10,52.6,7,36.8,284,1632,964,30,20,2,11,5,374,58
Charles De Ketelaere, BEL,"MF,FW",Milan,21,2001,2.6,112,1,16,63,37,9,112,7,1,14.3,5,71.4,61,415,206,7,5,3,5,6,75,15
Rodrigo De Paul, ARG,MF,Atlético Madrid,28,1994,2.8,273,4,23,159,96,1,273,3,3,100.0,0,0.0,191,915,484,9,5,0,5,4,215,11
Mattia De Sciglio, ITA,DF,Juventus,29,1992,1.1,67,1,15,30,23,1,67,2,1,50.0,0,0.0,37,227,130,4,4,0,1,1,49,8
Amar Dedić, BIH,DF,RB Salzburg,19,2002,6.0,358,24,101,172,92,5,358,10,4,40.0,5,50.0,160,974,481,11,13,2,7,3,143,13
Thomas Delaney, DEN,MF,Sevilla,30,1991,2.6,125,8,44,56,25,3,125,0,0,,0,,59,174,71,2,0,1,1,2,87,6
Ousmane Dembélé, FRA,FW,Barcelona,25,1997,4.6,331,1,13,90,230,17,331,39,12,30.8,25,64.1,228,1978,955,36,23,6,10,10,247,67
Kerem Demirbay, GER,MF,Leverkusen,29,1993,3.0,260,2,30,164,67,5,259,4,1,25.0,3,75.0,130,754,374,0,6,0,3,2,176,5
Sergiño Dest, USA,DF,Milan,21,2000,2.1,112,3,32,48,32,3,112,7,0,0.0,4,57.1,60,265,138,3,4,0,6,2,68,3
Giovanni Di Lorenzo, ITA,DF,Napoli,28,1993,9.9,700,31,216,320,173,36,700,21,8,38.1,8,38.1,449,2159,1207,34,19,7,15,5,463,41
Ángel Di María, ARG,FW,Juventus,34,1988,1.6,98,0,9,38,53,8,98,10,4,40.0,6,60.0,64,495,224,7,9,4,7,7,76,13
Moussa Diaby, FRA,"FW,MF",Leverkusen,23,1999,5.6,261,1,15,115,135,24,261,14,6,42.9,7,50.0,164,1153,694,22,12,11,20,5,205,50
Abdou Diallo, SEN,"DF,MF",RB Leipzig,26,1996,2.5,209,15,67,133,12,1,209,5,5,100.0,0,0.0,167,1047,652,3,2,0,1,1,160,1
Rúben Dias, POR,DF,Manchester City,25,1997,11.7,1056,91,391,622,47,17,1056,3,3,100.0,0,0.0,723,3400,1994,9,9,0,6,3,844,3
Brahim Díaz, ESP,"MF,FW",Milan,22,1999,6.7,262,0,18,133,117,14,262,38,17,44.7,15,39.5,180,1131,549,16,16,2,22,23,204,33
Luis Díaz, COL,FW,Liverpool,25,1997,3.0,139,1,6,41,95,14,139,14,4,28.6,8,57.1,84,626,268,8,7,8,6,7,102,34
Eric Dier, ENG,DF,Tottenham,28,1994,6.9,526,50,254,255,19,9,526,0,0,,0,,335,1772,750,2,5,0,3,0,373,1
Kevin Diks, NED,DF,FC Copenhagen,25,1996,3.7,215,24,87,95,35,6,215,3,0,0.0,3,100.0,86,540,326,4,3,0,6,4,113,10
Federico Dimarco, ITA,DF,Inter,24,1997,8.1,491,29,149,177,173,15,491,14,4,28.6,7,50.0,269,1371,803,24,13,1,9,3,295,59
Junior Dina Ebimbe, FRA,"MF,DF",Eint Frankfurt,21,2000,2.7,141,5,33,77,33,4,141,7,1,14.3,4,57.1,73,568,254,7,4,3,8,7,84,12
Marko Dmitrović, SRB,GK,Sevilla,30,1992,2.0,76,53,76,0,0,0,76,0,0,,0,,47,171,53,0,0,0,0,0,50,0
Matt Doherty, IRL,DF,Tottenham,30,1992,0.8,50,3,12,22,18,6,50,0,0,,0,,23,118,27,2,2,1,3,0,28,5
Kasper Dolberg, DEN,FW,Sevilla,24,1997,1.2,34,1,2,16,17,4,34,8,3,37.5,3,37.5,19,119,35,3,3,0,3,1,16,6
Gianluigi Donnarumma, ITA,GK,Paris S-G,23,1999,8.0,261,234,261,0,0,0,261,0,0,,0,,185,811,484,0,0,0,0,0,131,0
Julian Draxler, GER,MF,Benfica,28,1993,0.4,18,0,4,8,7,2,18,1,1,100.0,0,0.0,12,70,41,0,1,0,1,2,12,2
Josip Drmić, SUI,FW,Dinamo Zagreb,29,1992,1.1,29,3,3,13,13,2,29,1,0,0.0,1,100.0,20,85,23,2,1,0,2,1,21,11
