Player,Nationality,Pos,Club,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKatt,CrdYellow,CrdRed,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Nicolás Capaldo, ARG,MF,RB Salzburg,24,1997,3,3,270,3.0,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,4,9,8,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.1,0.08,0.1
Valentin Carboni, ARG,FW,Inter,17,2005,1,0,15,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fábio Cardoso, POR,DF,Porto,28,1994,4,4,360,4.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,1,3,1,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
David Carmo, POR,DF,Porto,23,1999,5,5,450,5.0,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,0,5,2,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06
Carmona, ESP,DF,Sevilla,20,2002,5,5,450,5.0,0,0,0,0,0,0,2,0,0.5,0.5,0.3,0.7,5,15,20,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.15,0.09,0.15
Yannick Carrasco, BEL,"DF,MF",Atlético Madrid,28,1993,6,3,274,3.0,1,1,2,1,0,1,0,0,1.7,1.0,0.4,1.3,21,12,46,0.33,0.33,0.66,0.33,0.66,0.51,0.11,0.63,0.28,0.39
Cameron Carter-Vickers, USA,DF,Celtic,24,1997,4,4,360,4.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,28,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
Dani Carvajal, ESP,DF,Real Madrid,30,1992,11,10,869,9.7,0,2,2,0,0,0,3,0,0.2,0.2,1.7,1.9,12,35,35,0.0,0.21,0.21,0.0,0.21,0.02,0.18,0.19,0.02,0.19
Fabio Carvalho, POR,"MF,FW",Liverpool,19,2002,4,1,115,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,5,7,4,0.0,0.0,0.0,0.0,0.0,0.15,0.05,0.2,0.15,0.2
Marc Casado, ESP,MF,Barcelona,18,2003,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dani Ceballos, ESP,MF,Real Madrid,25,1996,7,0,86,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,2,7,3,0.0,0.0,0.0,0.0,0.0,0.27,0.21,0.48,0.27,0.48
Aleš Čermák, CZE,MF,Viktoria Plzeň,27,1994,3,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,6,0,0.0,0.0,0.0,0.0,0.0,0.07,0.11,0.18,0.07,0.18
El Chadaille Bitshiabu, FRA,DF,Paris S-G,17,2005,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevoh Chalobah, ENG,DF,Chelsea,23,1999,6,4,439,4.9,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.9,6,12,1,0.0,0.0,0.0,0.0,0.0,0.13,0.06,0.18,0.13,0.18
Timothy Chandler, USA,DF,Eint Frankfurt,32,1990,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.24,0.24
Tjaronn Chery, SUR,"MF,FW",Maccabi Haifa,34,1988,6,6,540,6.0,2,1,3,1,1,1,1,0,1.6,0.8,1.9,2.7,17,29,44,0.33,0.17,0.5,0.17,0.33,0.27,0.32,0.59,0.14,0.46
Federico Chiesa, ITA,FW,Juventus,24,1997,1,0,17,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,1,4,5,0.0,0.0,0.0,0.0,0.0,0.48,0.31,0.79,0.48,0.79
Ben Chilwell, ENG,"DF,MF",Chelsea,25,1996,7,7,556,6.2,0,0,0,0,0,0,1,1,0.2,0.2,1.6,1.8,15,22,39,0.0,0.0,0.0,0.0,0.0,0.03,0.26,0.29,0.03,0.29
Chiquinho, POR,MF,Benfica,27,1995,9,4,404,4.5,0,1,1,0,0,0,0,0,0.4,0.4,0.3,0.7,9,37,12,0.0,0.22,0.22,0.0,0.22,0.09,0.06,0.15,0.09,0.15
Tomáš Chorý, CZE,FW,Viktoria Plzeň,27,1995,6,5,361,4.0,2,0,2,1,1,1,2,0,2.0,1.3,0.1,1.4,0,2,6,0.5,0.0,0.5,0.25,0.25,0.51,0.03,0.54,0.31,0.34
Andreas Christensen, DEN,DF,Barcelona,26,1996,3,3,216,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,18,1,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04
Viktor Claesson, SWE,"FW,MF",FC Copenhagen,30,1992,6,6,482,5.4,0,1,1,0,0,0,2,0,0.5,0.5,0.7,1.1,7,21,15,0.0,0.19,0.19,0.0,0.19,0.09,0.12,0.21,0.09,0.21
Jonathan Clauss, FRA,DF,Marseille,29,1992,6,6,410,4.6,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,11,13,26,0.0,0.22,0.22,0.0,0.22,0.06,0.07,0.14,0.06,0.14
William Clem, DEN,MF,FC Copenhagen,18,2004,2,2,170,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,8,1,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09
Sebastián Coates, URU,DF,Sporting CP,31,1990,5,5,394,4.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,9,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
Josh Cohen, USA,GK,Maccabi Haifa,29,1992,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Čolak, CRO,FW,Rangers,28,1993,6,3,284,3.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,1,3,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
Kingsley Coman, FRA,"FW,DF",Bayern Munich,26,1996,7,7,533,5.9,1,1,2,1,0,0,0,0,1.0,1.0,1.7,2.7,36,31,98,0.17,0.17,0.34,0.17,0.34,0.16,0.29,0.45,0.16,0.45
Francisco Conceição, POR,"FW,MF",Ajax,19,2002,3,0,17,0.2,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.5,1,1,4,5.29,0.0,5.29,5.29,5.29,3.07,0.0,3.07,3.07,3.07
Rodrigo Conceição, POR,DF,Porto,22,2000,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreas Cornelius, DEN,FW,FC Copenhagen,29,1993,2,1,109,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,1,0,2,0.0,0.0,0.0,0.0,0.0,0.11,0.23,0.33,0.11,0.33
Pierre Cornud, FRA,DF,Maccabi Haifa,25,1996,5,5,371,4.1,0,1,1,0,0,0,1,0,0.0,0.0,0.7,0.8,11,14,18,0.0,0.24,0.24,0.0,0.24,0.01,0.18,0.19,0.01,0.19
Ángel Correa, ARG,"FW,MF",Atlético Madrid,27,1995,6,3,315,3.5,0,0,0,0,0,0,0,0,0.8,0.8,0.4,1.2,7,14,28,0.0,0.0,0.0,0.0,0.0,0.26,0.13,0.39,0.26,0.39
Joaquín Correa, ARG,FW,Inter,27,1994,9,3,304,3.4,1,2,3,1,0,0,0,0,0.7,0.7,0.7,1.4,3,15,16,0.3,0.59,0.89,0.3,0.89,0.19,0.21,0.4,0.19,0.4
Bruno Xavier Almeida Costa, POR,MF,Porto,25,1997,3,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0,3,0,0.0,0.0,0.0,0.0,0.0,0.03,0.16,0.19,0.03,0.19
Diogo Costa, POR,GK,Porto,22,1999,8,8,720,8.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,0,0.0,0.12,0.12,0.0,0.12,0.0,0.02,0.02,0.0,0.02
Soumaïla Coulibaly, FRA,DF,Dortmund,18,2003,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thibaut Courtois, BEL,GK,Real Madrid,30,1992,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Cuadrado, COL,"DF,MF",Juventus,34,1988,6,6,431,4.8,0,1,1,0,0,0,0,0,0.1,0.1,1.3,1.4,12,16,36,0.0,0.21,0.21,0.0,0.21,0.03,0.27,0.3,0.03,0.3
Marc Cucurella, ESP,DF,Chelsea,24,1998,8,4,414,4.6,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,6,29,21,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.12,0.07,0.12
Matheus Cunha, BRA,"FW,MF",Atlético Madrid,23,1999,5,0,122,1.4,0,0,0,0,0,0,0,0,0.6,0.6,0.4,1.0,4,3,12,0.0,0.0,0.0,0.0,0.0,0.45,0.28,0.73,0.45,0.73
Danilo D'Ambrosio, ITA,DF,Inter,33,1988,6,1,161,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,9,2,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11
Danilo, BRA,DF,Juventus,31,1991,5,5,427,4.7,0,0,0,0,0,0,3,0,0.3,0.3,0.6,0.9,5,25,7,0.0,0.0,0.0,0.0,0.0,0.06,0.12,0.18,0.06,0.18
Arnaut Danjuma, NED,MF,Tottenham,25,1997,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Daramy, DEN,FW,FC Copenhagen,20,2002,6,6,443,4.9,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,26,14,32,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12
Matteo Darmian, ITA,DF,Inter,32,1989,11,9,821,9.1,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,6,18,15,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04
Dean David, ISR,"FW,DF",Maccabi Haifa,26,1996,6,3,237,2.6,1,0,1,1,0,0,0,0,1.9,1.9,0.1,2.0,7,2,17,0.38,0.0,0.38,0.38,0.38,0.73,0.03,0.76,0.73,0.76
Alphonso Davies, CAN,DF,Bayern Munich,21,2000,9,6,602,6.7,0,2,2,0,0,0,1,0,0.5,0.5,0.8,1.3,32,18,55,0.0,0.3,0.3,0.0,0.3,0.07,0.12,0.2,0.07,0.2
Ben Davies, WAL,DF,Tottenham,29,1993,7,4,392,4.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,21,8,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Ben Davies, ENG,DF,Rangers,26,1995,3,3,260,2.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,9,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
Steven Davis, NIR,MF,Rangers,37,1985,5,3,249,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Kevin De Bruyne, BEL,MF,Manchester City,31,1991,10,9,716,8.0,2,6,8,2,0,0,1,0,1.3,1.3,3.5,4.8,30,49,58,0.25,0.75,1.01,0.25,1.01,0.16,0.44,0.6,0.16,0.6
Charles De Ketelaere, BEL,"MF,FW",Milan,21,2001,6,3,234,2.6,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,7,7,15,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21
Rodrigo De Paul, ARG,MF,Atlético Madrid,28,1994,5,1,256,2.8,1,0,1,1,0,0,1,0,0.2,0.2,0.5,0.7,9,35,11,0.35,0.0,0.35,0.35,0.35,0.08,0.18,0.25,0.08,0.25
Mattia De Sciglio, ITA,DF,Juventus,29,1992,3,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
Amar Dedić, BIH,DF,RB Salzburg,19,2002,6,6,540,6.0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.7,11,14,13,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.11,0.02,0.11
Thomas Delaney, DEN,MF,Sevilla,30,1991,4,3,230,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,2,8,6,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.14,0.08,0.14
Ousmane Dembélé, FRA,FW,Barcelona,25,1997,6,5,413,4.6,1,2,3,1,0,0,1,0,1.1,1.1,1.5,2.6,36,26,67,0.22,0.44,0.65,0.22,0.65,0.23,0.33,0.57,0.23,0.57
Kerem Demirbay, GER,MF,Leverkusen,29,1993,5,2,268,3.0,0,0,0,0,0,1,1,0,1.1,0.4,0.3,0.7,0,23,5,0.0,0.0,0.0,0.0,0.0,0.38,0.1,0.49,0.12,0.22
Sergiño Dest, USA,DF,Milan,21,2000,4,1,191,2.1,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.4,3,6,3,0.0,0.0,0.0,0.0,0.0,0.14,0.07,0.21,0.14,0.21
Giovanni Di Lorenzo, ITA,DF,Napoli,28,1993,10,10,888,9.9,2,2,4,2,0,0,2,0,1.2,1.0,2.6,3.7,34,57,41,0.2,0.2,0.41,0.2,0.41,0.12,0.27,0.38,0.1,0.37
Ángel Di María, ARG,FW,Juventus,34,1988,3,2,146,1.6,0,3,3,0,0,0,0,0,0.3,0.3,1.8,2.1,7,12,13,0.0,1.85,1.85,0.0,1.85,0.2,1.12,1.31,0.2,1.31
Moussa Diaby, FRA,"FW,MF",Leverkusen,23,1999,6,6,505,5.6,2,0,2,2,0,0,0,0,1.7,1.7,0.8,2.5,22,19,50,0.36,0.0,0.36,0.36,0.36,0.31,0.15,0.45,0.31,0.45
Abdou Diallo, SEN,"DF,MF",RB Leipzig,26,1996,5,2,227,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,26,1,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.01,0.03
Rúben Dias, POR,DF,Manchester City,25,1997,12,11,"1,049",11.7,1,0,1,1,0,0,2,0,1.7,1.7,0.1,1.8,9,40,3,0.09,0.0,0.09,0.09,0.09,0.15,0.01,0.16,0.15,0.16
Brahim Díaz, ESP,"MF,FW",Milan,22,1999,10,8,602,6.7,1,0,1,1,0,0,1,0,1.6,1.6,0.6,2.1,16,17,33,0.15,0.0,0.15,0.15,0.15,0.23,0.09,0.32,0.23,0.32
Luis Díaz, COL,FW,Liverpool,25,1997,3,3,269,3.0,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.8,8,13,34,0.33,0.0,0.33,0.33,0.33,0.16,0.11,0.27,0.16,0.27
Eric Dier, ENG,DF,Tottenham,28,1994,7,7,617,6.9,0,0,0,0,0,0,3,0,1.1,1.1,0.0,1.1,2,23,1,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16
Kevin Diks, NED,DF,FC Copenhagen,25,1996,6,4,335,3.7,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.7,4,10,10,0.0,0.0,0.0,0.0,0.0,0.14,0.04,0.18,0.14,0.18
Federico Dimarco, ITA,DF,Inter,24,1997,11,10,728,8.1,0,5,5,0,0,0,2,0,1.3,1.3,3.0,4.3,24,34,59,0.0,0.62,0.62,0.0,0.62,0.17,0.37,0.53,0.17,0.53
Junior Dina Ebimbe, FRA,"MF,DF",Eint Frankfurt,21,2000,6,3,239,2.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,7,11,12,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
Marko Dmitrović, SRB,GK,Sevilla,30,1992,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Doherty, IRL,DF,Tottenham,30,1992,2,1,76,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,4,5,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17
Kasper Dolberg, DEN,FW,Sevilla,24,1997,4,1,110,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,3,2,6,0.0,0.0,0.0,0.0,0.0,0.12,0.15,0.27,0.12,0.27
Gianluigi Donnarumma, ITA,GK,Paris S-G,23,1999,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Draxler, GER,MF,Benfica,28,1993,3,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,3,2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2
Josip Drmić, SUI,FW,Dinamo Zagreb,29,1992,6,0,95,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,2,1,11,0.0,0.0,0.0,0.0,0.0,0.11,0.24,0.35,0.11,0.35
Denzel Dumfries, NED,DF,Inter,26,1996,12,10,885,9.8,1,0,1,1,0,0,0,0,1.7,1.7,0.4,2.1,21,15,60,0.1,0.0,0.1,0.1,0.1,0.17,0.04,0.22,0.17,0.22
Edin Džeko, BIH,FW,Inter,36,1986,13,11,824,9.2,4,1,5,4,0,0,2,0,3.2,3.2,0.9,4.2,14,26,43,0.44,0.11,0.55,0.44,0.55,0.35,0.1,0.45,0.35,0.45
Ederson, BRA,GK,Manchester City,28,1993,11,11,990,11.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorge Eduardo Sánchez, MEX,DF,Ajax,24,1997,5,3,269,3.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.3,2,3,12,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.11,0.05,0.11
Marcus Edwards, ENG,"FW,MF",Sporting CP,23,1998,6,6,352,3.9,2,1,3,2,0,0,0,0,0.7,0.7,0.6,1.3,22,16,17,0.51,0.26,0.77,0.51,0.77,0.19,0.14,0.33,0.19,0.33
Hugo Ekitike, FRA,"MF,FW",Paris S-G,20,2002,4,0,62,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,1,7,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26
Harvey Elliott, ENG,MF,Liverpool,19,2003,8,4,395,4.4,2,0,2,2,0,0,1,0,1.1,1.1,0.3,1.4,15,28,21,0.46,0.0,0.46,0.46,0.46,0.25,0.07,0.33,0.25,0.33
Elif Elmas, MKD,"FW,MF",Napoli,22,1999,10,2,285,3.2,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,10,9,13,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.13,0.07,0.13
Emerson, BRA,"DF,MF",Tottenham,23,1999,8,6,543,6.0,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.8,15,24,34,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.14,0.08,0.14
Youssef En-Nesyri, MAR,FW,Sevilla,25,1997,4,3,245,2.7,2,0,2,2,0,0,0,0,1.7,1.7,0.0,1.7,2,1,7,0.73,0.0,0.73,0.73,0.73,0.61,0.01,0.62,0.61,0.62
Ricardo Esgaio, POR,"DF,MF",Sporting CP,29,1993,3,2,109,1.2,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
Dario Essugo, POR,MF,Sporting CP,17,2005,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Eustáquio, CAN,MF,Porto,25,1996,7,7,594,6.6,2,0,2,2,0,0,1,0,1.4,1.4,0.6,2.0,3,25,20,0.3,0.0,0.3,0.3,0.3,0.21,0.09,0.3,0.21,0.3
Evanilson, BRA,FW,Porto,22,1999,8,6,513,5.7,1,1,2,1,0,0,0,0,0.9,0.9,1.0,1.9,3,8,22,0.18,0.18,0.35,0.18,0.35,0.15,0.18,0.33,0.15,0.33
Fabinho, BRA,MF,Liverpool,28,1993,8,7,632,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,35,6,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
Nicolò Fagioli, ITA,MF,Juventus,21,2001,2,1,108,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,16,8,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13
Rasmus Falk, DEN,MF,FC Copenhagen,30,1992,3,2,189,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,7,5,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
Abdul Fatawu Issahaku, GHA,"MF,DF",Sporting CP,18,2004,2,0,89,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11
Ansu Fati, ESP,FW,Barcelona,19,2002,6,2,244,2.7,0,1,1,0,0,0,0,0,0.9,0.9,0.1,1.0,10,9,27,0.0,0.37,0.37,0.0,0.37,0.32,0.04,0.36,0.32,0.36
Felipe, BRA,DF,Atlético Madrid,33,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.18,0.05,0.23,0.18,0.23
João Félix, POR,"FW,MF",Chelsea,22,1999,4,3,244,2.7,0,0,0,0,0,0,0,0,1.6,1.6,0.3,1.9,13,12,22,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.7,0.6,0.7
João Félix, POR,FW,Atlético Madrid,22,1999,5,3,217,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,7,8,16,0.0,0.0,0.0,0.0,0.0,0.13,0.07,0.2,0.13,0.2
Mateus Fernandes, POR,MF,Sporting CP,18,2004,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enzo Fernández, ARG,MF,Benfica,21,2001,5,5,427,4.7,0,1,1,0,0,0,3,0,0.5,0.5,0.3,0.8,7,32,3,0.0,0.21,0.21,0.0,0.21,0.1,0.07,0.17,0.1,0.17
Enzo Fernández, ARG,MF,Chelsea,21,2001,4,4,332,3.7,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,2,37,5,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.13,0.08,0.13
Fernando, BRA,FW,RB Salzburg,23,1999,1,1,64,0.7,0,1,1,0,0,0,0,0,0.6,0.6,0.3,0.9,3,2,4,0.0,1.41,1.41,0.0,1.41,0.82,0.43,1.25,0.82,1.25
Fernando, BRA,MF,Sevilla,35,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04
Roberto Firmino, BRA,"FW,MF",Liverpool,30,1991,8,4,417,4.6,2,1,3,2,0,0,0,0,0.7,0.7,1.6,2.3,6,30,35,0.43,0.22,0.65,0.43,0.65,0.16,0.35,0.51,0.16,0.51
Phil Foden, ENG,"MF,FW",Manchester City,22,2000,8,3,384,4.3,1,2,3,1,0,0,1,0,1.0,1.0,1.3,2.3,13,22,57,0.23,0.47,0.7,0.23,0.7,0.23,0.31,0.54,0.23,0.54
Wesley Fofana, FRA,DF,Chelsea,21,2000,5,5,397,4.4,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,11,11,5,0.23,0.0,0.23,0.23,0.23,0.07,0.04,0.11,0.07,0.11
Bernardo Folha, POR,MF,Porto,20,2002,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Forrest, SCO,FW,Celtic,31,1991,3,0,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,3,2,22,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.0,0.48
Emil Forsberg, SWE,"MF,FW",RB Leipzig,30,1991,8,4,402,4.5,1,0,1,1,0,0,0,0,0.9,0.9,0.3,1.2,1,19,14,0.22,0.0,0.22,0.22,0.22,0.2,0.06,0.26,0.2,0.26
Fraser Forster, ENG,GK,Tottenham,34,1988,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timothy Fosu-Mensah, NED,"MF,DF",Leverkusen,24,1998,3,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lassina Franck Traoré, BFA,FW,Shakhtar,21,2001,6,3,244,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.5,1.0,2,3,8,0.37,0.0,0.37,0.37,0.37,0.17,0.2,0.37,0.17,0.37
André Franco, POR,MF,Porto,24,1998,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07
Jeremie Frimpong, NED,"MF,FW",Leverkusen,21,2000,5,4,374,4.2,0,2,2,0,0,0,2,1,0.4,0.4,0.8,1.2,29,10,30,0.0,0.48,0.48,0.0,0.48,0.11,0.19,0.3,0.11,0.3
Kyogo Furuhashi, JPN,FW,Celtic,27,1995,6,5,359,4.0,0,1,1,0,0,0,1,0,1.7,1.7,0.4,2.1,5,4,20,0.0,0.25,0.25,0.0,0.25,0.43,0.1,0.53,0.43,0.53
Matteo Gabbia, ITA,DF,Milan,22,1999,4,2,211,2.3,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,2,7,0,0.43,0.0,0.43,0.43,0.43,0.16,0.0,0.16,0.16,0.16
Gianluca Gaetano, ITA,MF,Napoli,22,2000,3,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
