Player,Nationality,Pos,Club,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKatt,CrdYellow,CrdRed,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Robert Andrich, GER,MF,Leverkusen,27,1994,5,5,407,4.5,1,0,1,1,0,0,4,0,0.3,0.3,0.1,0.5,3,14,1,0.22,0.0,0.22,0.22,0.22,0.07,0.03,0.1,0.07,0.1
Peter Ankersen, DEN,DF,FC Copenhagen,31,1990,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ofri Arad, ISR,"DF,MF",Maccabi Haifa,23,1998,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles Aránguiz, CHI,MF,Leverkusen,33,1989,4,3,215,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,15,0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08
Henrique Araújo, POR,FW,Benfica,20,2002,1,0,9,0.1,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,0,1,5,10.0,0.0,10.0,10.0,10.0,2.3,1.03,3.33,2.3,3.33
Ronald Araújo, URU,DF,Barcelona,23,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,6,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
Scott Arfield, CAN,MF,Rangers,33,1988,4,3,267,3.0,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.7,1,7,9,0.34,0.0,0.34,0.34,0.34,0.21,0.02,0.22,0.21,0.22
Hákon Arnar Haraldsson, ISL,FW,FC Copenhagen,19,2003,6,3,298,3.3,1,0,1,1,0,0,0,0,1.0,1.0,0.2,1.2,5,7,14,0.3,0.0,0.3,0.3,0.3,0.3,0.07,0.37,0.3,0.37
Kepa Arrizabalaga, ESP,GK,Chelsea,27,1994,9,9,810,9.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arthur, BRA,"MF,FW",Sporting CP,24,1998,3,1,111,1.2,2,0,2,2,0,0,0,0,0.3,0.3,0.3,0.6,5,5,9,1.62,0.0,1.62,1.62,1.62,0.22,0.23,0.45,0.22,0.45
Marco Asensio, ESP,"FW,MF",Real Madrid,26,1996,12,2,324,3.6,3,1,4,3,0,0,0,0,0.9,0.9,1.7,2.7,12,19,15,0.83,0.28,1.11,0.83,1.11,0.26,0.48,0.74,0.26,0.74
Kristjan Asllani, ALB,MF,Inter,20,2002,5,1,129,1.4,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.0,0,3,2,0.0,0.0,0.0,0.0,0.0,0.51,0.19,0.7,0.51,0.7
Omer Atzili, ISR,"FW,MF",Maccabi Haifa,29,1993,6,3,308,3.4,2,1,3,2,0,0,3,0,0.7,0.7,0.7,1.4,6,12,28,0.58,0.29,0.88,0.58,0.88,0.2,0.2,0.4,0.2,0.4
Pierre-Emerick Aubameyang, GAB,FW,Chelsea,33,1989,6,6,403,4.5,2,1,3,2,0,0,0,0,2.3,2.3,0.5,2.8,8,11,31,0.45,0.22,0.67,0.45,0.67,0.51,0.11,0.62,0.51,0.62
Lynnt Audoor, BEL,MF,Club Brugge,18,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fredrik Aursnes, NOR,"FW,MF",Benfica,26,1995,10,7,620,6.9,1,0,1,1,0,0,0,0,0.5,0.5,0.6,1.1,12,30,45,0.15,0.0,0.15,0.15,0.15,0.07,0.09,0.16,0.07,0.16
Sardar Azmoun, IRN,FW,Leverkusen,27,1995,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.98
César Azpilicueta, ESP,DF,Chelsea,32,1989,5,3,260,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,4,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07
Youri Baas, NED,DF,Ajax,19,2003,3,0,44,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,3,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16
Alexander Bah, DEN,DF,Benfica,24,1997,8,8,654,7.3,0,2,2,0,0,0,1,0,0.1,0.1,1.0,1.1,16,44,34,0.0,0.28,0.28,0.0,0.28,0.01,0.14,0.15,0.01,0.15
Eric Bailly, CIV,DF,Marseille,28,1994,5,5,302,3.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefan Bajcetic, ESP,MF,Liverpool,17,2004,4,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
Mitchel Bakker, NED,"MF,DF",Leverkusen,22,2000,5,4,338,3.8,0,0,0,0,0,0,2,0,0.4,0.4,0.3,0.7,9,21,32,0.0,0.0,0.0,0.0,0.0,0.11,0.07,0.18,0.11,0.18
Alejandro Balde, ESP,DF,Barcelona,18,2003,4,1,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,15,11,17,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
Leonardo Balerdi, ARG,DF,Marseille,23,1999,6,5,491,5.5,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,6,29,3,0.18,0.0,0.18,0.18,0.18,0.04,0.0,0.04,0.04,0.04
Fodé Ballo-Touré, SEN,"DF,MF",Milan,25,1997,4,1,135,1.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tommaso Barbieri, ITA,MF,Juventus,19,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roony Bardghji, SWE,FW,FC Copenhagen,16,2005,2,1,98,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,2,7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.3
Nicolò Barella, ITA,MF,Inter,25,1997,12,12,991,11.0,3,0,3,3,0,0,3,0,1.4,1.4,0.7,2.1,36,51,37,0.27,0.0,0.27,0.27,0.27,0.12,0.07,0.19,0.12,0.19
