Player,Nationality,Position,Club,Age,Born,90s,Total Passes attempted,Live Ball Passes,Dead Ball Passes,Passes from Free kicks,Through balls,Switches,Crosses,Throw-ins taken,Corner kicks,Inswinging Corner kicks,Outswinging Corner kicks,Straight Corner kicks,Passes completed,Passes offside,Passes blocked
Jude Bellingham,ENG,MF,Dortmund,19,2003,7,335,329,5,3,3,7,5,1,0,0,0,0,274,1,4
Ismaël Bennacer,ALG,MF,Milan,24,1997,6.5,343,328,14,11,1,3,6,1,2,0,2,0,289,1,4
Rodrigo Bentancur,URU,"MF,FW",Tottenham,25,1997,5.6,365,358,7,5,3,0,3,0,0,0,0,0,316,0,3
Karim Benzema,FRA,FW,Real Madrid,34,1987,8.3,315,298,15,0,2,0,0,0,1,0,0,0,268,2,6
Steven Berghuis,NED,"MF,FW",Ajax,30,1991,5.1,274,244,26,6,0,6,24,5,15,11,0,0,204,4,4
Steven Bergwijn,NED,FW,Ajax,24,1997,5.8,205,198,7,0,2,3,3,3,4,0,0,0,184,0,4
Alexandro Bernabei,ARG,FW,Celtic,21,2000,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Bernardo,BRA,DF,RB Salzburg,27,1995,3,73,67,5,5,0,1,0,0,0,0,0,0,49,1,1
Juan Bernat,ESP,DF,Paris S-G,29,1993,3.1,200,185,15,2,0,0,2,13,0,0,0,0,183,0,2
Victor Bernth Kristiansen,DEN,"DF,MF",FC Copenhagen,19,2002,5.4,251,209,41,9,0,1,18,27,5,2,2,0,188,1,6
Modou Biramé Ndiaye,SEN,MF,Viktoria Plzeň,25,1996,2,61,61,0,0,0,1,0,0,0,0,0,0,46,0,2
Yves Bissouma,MLI,MF,Tottenham,25,1996,1,72,70,2,2,0,1,0,0,0,0,0,0,65,0,0
Janis Blaswich,GER,GK,RB Leipzig,31,1991,5.9,263,218,43,8,0,0,0,0,0,0,0,0,219,2,1
Daley Blind,NED,DF,Ajax,32,1990,4.5,333,288,43,4,0,1,4,34,1,0,0,0,277,2,7
Petar Bočkaj,CRO,"DF,FW",Dinamo Zagreb,26,1996,0.4,21,16,5,1,0,0,5,2,2,2,0,0,12,0,3
Nicolai Boilesen,DEN,DF,FC Copenhagen,30,1992,1.1,84,82,2,2,0,0,0,0,0,0,0,0,81,0,0
Valerii Bondar,UKR,DF,Shakhtar,23,1999,6,344,338,6,6,0,2,0,0,0,0,0,0,317,0,4
Artem Bondarenko,UKR,MF,Shakhtar,21,2000,5.4,277,268,9,6,1,0,2,1,2,2,0,0,242,0,5
Leonardo Bonucci,ITA,DF,Juventus,35,1987,4.9,303,274,26,11,1,1,1,2,0,0,0,0,262,3,0
Gonçalo Borges,POR,"MF,FW",Porto,21,2001,0.4,15,15,0,0,0,0,1,0,0,0,0,0,9,0,0
Rafael Borré,COL,FW,Eint Frankfurt,26,1995,2.5,70,66,4,0,0,0,2,2,0,0,0,0,56,0,2
Yassine Bounou,MAR,GK,Sevilla,31,1991,4,208,156,52,9,0,1,0,0,0,0,0,0,166,0,0
Dedryck Boyata,BEL,DF,Club Brugge,31,1990,1.5,79,75,4,4,0,0,0,0,0,0,0,0,66,0,0
Julian Brandt,GER,"MF,FW",Dortmund,26,1996,5.3,247,225,20,4,1,2,18,3,12,2,9,0,199,2,7
Gleison Bremer,BRA,DF,Juventus,25,1997,3,143,141,2,2,0,0,0,0,0,0,0,0,122,0,2
Brian Brobbey,NED,FW,Ajax,20,2002,1.3,25,18,7,0,0,0,1,0,0,0,0,0,19,0,0
Armando Broja,ALB,FW,Chelsea,20,2001,1.3,31,31,0,0,0,0,0,0,0,0,0,0,24,0,1
Marcelo Brozović,CRO,MF,Inter,29,1992,6.1,417,390,26,19,1,7,11,1,6,1,5,0,372,1,7
Pavel Bucha,CZE,MF,Viktoria Plzeň,24,1998,4,132,131,1,0,0,0,4,0,1,1,0,0,115,0,4
Tajon Buchanan,CAN,"DF,MF",Club Brugge,23,1999,5.8,147,126,21,1,0,1,12,20,0,0,0,0,112,0,4
Marko Bulat,CRO,MF,Dinamo Zagreb,20,2001,0.3,23,22,1,1,0,0,0,0,0,0,0,0,19,0,0
Sergio Busquets,ESP,MF,Barcelona,34,1988,3.2,166,155,11,11,0,2,0,0,0,0,0,0,138,0,4
Aurélio Buta,POR,DF,Eint Frankfurt,25,1997,1.8,59,40,19,0,0,0,5,19,0,0,0,0,37,0,0
Jamie Bynoe-Gittens,ENG,MF,Dortmund,17,2004,0.4,12,11,1,0,0,0,1,1,0,0,0,0,8,0,1
Jovane Cabral,CPV,MF,Sporting CP,24,1998,0.1,8,8,0,0,0,0,2,0,0,0,0,0,6,0,0
Davide Calabria,ITA,DF,Milan,25,1996,5.5,319,268,50,4,0,1,12,46,0,0,0,0,258,1,10
Hakan Çalhanoğlu,TUR,MF,Inter,28,1994,8.9,451,394,55,23,1,8,47,3,29,10,17,0,377,2,8
Eduardo Camavinga,FRA,"MF,DF",Real Madrid,19,2002,8,470,433,36,10,1,5,3,26,0,0,0,0,408,1,11
Emre Can,GER,MF,Dortmund,28,1994,6.3,297,287,10,8,1,4,1,2,0,0,0,0,252,0,7
João Cancelo,POR,DF,Bayern Munich,28,1994,1.4,110,92,18,2,0,1,5,16,0,0,0,0,92,0,3
João Cancelo,POR,DF,Manchester City,28,1994,4.2,416,383,32,7,1,4,24,25,0,0,0,0,352,1,9
Nicolás Capaldo,ARG,MF,RB Salzburg,24,1997,3,76,74,2,0,0,0,5,2,0,0,0,0,43,0,4
Valentin Carboni,ARG,FW,Inter,17,2005,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Fábio Cardoso,POR,DF,Porto,28,1994,4,213,208,5,5,0,1,1,0,0,0,0,0,189,0,1
David Carmo,POR,DF,Porto,23,1999,5,214,197,16,11,0,2,2,0,0,0,0,0,166,1,1
Carmona,ESP,DF,Sevilla,20,2002,5,298,272,26,10,0,2,10,14,0,0,0,0,257,0,10
Yannick Carrasco,BEL,"DF,MF",Atlético Madrid,28,1993,3,180,142,38,7,1,1,23,20,10,8,2,0,137,0,3
Cameron Carter-Vickers,USA,DF,Celtic,24,1997,4,299,297,2,2,1,2,0,0,0,0,0,0,285,0,0
Dani Carvajal,ESP,DF,Real Madrid,30,1992,9.7,624,540,84,9,1,0,20,74,1,0,0,0,536,0,11
Fabio Carvalho,POR,"MF,FW",Liverpool,19,2002,1.3,55,55,0,0,1,0,1,0,0,0,0,0,46,0,0
Marc Casado,ESP,MF,Barcelona,18,2003,0.3,29,28,1,1,0,0,0,0,0,0,0,0,26,0,1
Dani Ceballos,ESP,MF,Real Madrid,25,1996,1,87,84,3,1,0,1,1,0,2,0,1,0,79,0,2
Aleš Čermák,CZE,MF,Viktoria Plzeň,27,1994,0.4,30,27,2,0,0,0,2,0,2,1,0,0,24,1,0
El Chadaille Bitshiabu,FRA,DF,Paris S-G,17,2005,0.5,27,27,0,0,0,0,0,0,0,0,0,0,26,0,1
Trevoh Chalobah,ENG,DF,Chelsea,23,1999,4.9,297,289,8,6,1,2,0,2,0,0,0,0,268,0,0
Timothy Chandler,USA,DF,Eint Frankfurt,32,1990,0.1,6,4,2,0,0,0,0,2,0,0,0,0,5,0,1
Tjaronn Chery,SUR,"MF,FW",Maccabi Haifa,34,1988,6,256,223,29,1,3,1,14,0,8,2,2,0,204,4,4
Federico Chiesa,ITA,FW,Juventus,24,1997,0.2,9,9,0,0,0,1,0,0,0,0,0,0,8,0,1
Ben Chilwell,ENG,"DF,MF",Chelsea,25,1996,6.2,378,318,60,13,0,2,34,29,18,11,7,0,296,0,9
Chiquinho,POR,MF,Benfica,27,1995,4.5,289,267,19,7,1,5,12,0,12,4,5,0,253,3,1
Tomáš Chorý,CZE,FW,Viktoria Plzeň,27,1995,4,60,57,3,0,0,0,0,0,0,0,0,0,35,0,1
Andreas Christensen,DEN,DF,Barcelona,26,1996,2.4,229,221,8,7,0,1,0,1,0,0,0,0,217,0,0
Viktor Claesson,SWE,"FW,MF",FC Copenhagen,30,1992,5.4,175,171,3,1,2,2,0,0,0,0,0,0,139,1,3
Jonathan Clauss,FRA,DF,Marseille,29,1992,4.6,220,175,42,1,2,2,12,41,0,0,0,0,164,3,11
William Clem,DEN,MF,FC Copenhagen,18,2004,1.9,74,73,1,1,0,0,0,0,0,0,0,0,66,0,0
Sebastián Coates,URU,DF,Sporting CP,31,1990,4.4,202,192,10,9,0,1,0,0,0,0,0,0,178,0,0
Josh Cohen,USA,GK,Maccabi Haifa,29,1992,6,145,98,45,6,0,0,0,0,0,0,0,0,107,2,0
Antonio Čolak,CRO,FW,Rangers,28,1993,3.2,42,32,10,0,0,0,1,0,0,0,0,0,27,0,0
Kingsley Coman,FRA,"FW,DF",Bayern Munich,26,1996,5.9,286,278,7,0,1,3,27,7,0,0,0,0,224,1,6
Francisco Conceição,POR,"FW,MF",Ajax,19,2002,0.2,14,11,3,1,0,0,0,2,0,0,0,0,13,0,0
Rodrigo Conceição,POR,DF,Porto,22,2000,0.1,5,4,1,0,0,0,0,1,0,0,0,0,4,0,0
Andreas Cornelius,DEN,FW,FC Copenhagen,29,1993,1.2,30,30,0,0,0,1,0,0,0,0,0,0,18,0,0
Pierre Cornud,FRA,DF,Maccabi Haifa,25,1996,4.1,202,177,24,4,1,0,21,20,0,0,0,0,161,1,1
Ángel Correa,ARG,"FW,MF",Atlético Madrid,27,1995,3.5,114,109,5,1,0,0,8,0,2,0,1,0,92,0,3
Joaquín Correa,ARG,FW,Inter,27,1994,3.4,93,90,3,1,1,0,0,1,0,0,0,0,76,0,4
Bruno Xavier Almeida Costa,POR,MF,Porto,25,1997,0.8,22,18,4,2,0,0,3,0,2,2,0,0,18,0,0
Diogo Costa,POR,GK,Porto,22,1999,8,380,311,67,19,0,3,0,0,0,0,0,0,276,2,0
Soumaïla Coulibaly,FRA,DF,Dortmund,18,2003,0.2,15,15,0,0,0,0,0,0,0,0,0,0,14,0,1
Thibaut Courtois,BEL,GK,Real Madrid,30,1992,10,371,304,66,12,0,1,0,0,0,0,0,0,294,1,1
Juan Cuadrado,COL,"DF,MF",Juventus,34,1988,4.8,281,235,45,11,0,12,24,29,5,1,3,0,234,1,5
Marc Cucurella,ESP,DF,Chelsea,24,1998,4.6,366,307,59,9,0,1,13,46,4,2,1,0,307,0,3
Matheus Cunha,BRA,"FW,MF",Atlético Madrid,23,1999,1.4,33,30,2,0,0,0,3,0,0,0,0,0,24,1,3
Danilo D'Ambrosio,ITA,DF,Inter,33,1988,1.8,97,93,3,0,0,0,2,3,0,0,0,0,80,1,0
Danilo,BRA,DF,Juventus,31,1991,4.7,274,253,20,2,0,3,8,18,0,0,0,0,232,1,3
Arnaut Danjuma,NED,MF,Tottenham,25,1997,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Mohammed Daramy,DEN,FW,FC Copenhagen,20,2002,4.9,139,124,15,1,0,0,5,4,0,0,0,0,111,0,9
Matteo Darmian,ITA,DF,Inter,32,1989,9.1,360,330,30,7,0,1,10,23,0,0,0,0,291,0,5
Dean David,ISR,"FW,DF",Maccabi Haifa,26,1996,2.6,49,46,3,0,0,0,2,3,0,0,0,0,28,0,5
Alphonso Davies,CAN,DF,Bayern Munich,21,2000,6.7,402,350,50,10,0,2,6,40,0,0,0,0,360,2,6
Ben Davies,WAL,DF,Tottenham,29,1993,4.4,228,216,12,5,0,1,2,7,0,0,0,0,187,0,2
Ben Davies,ENG,DF,Rangers,26,1995,2.9,152,147,5,5,0,0,0,0,0,0,0,0,121,0,0
Steven Davis,NIR,MF,Rangers,37,1985,2.8,114,110,3,2,0,3,0,0,1,0,0,0,91,1,0
Kevin De Bruyne,BEL,MF,Manchester City,31,1991,8,431,368,60,16,11,7,77,10,32,5,11,3,294,3,15
Charles De Ketelaere,BEL,"MF,FW",Milan,21,2001,2.6,75,72,2,0,0,0,3,2,0,0,0,0,53,1,6
Rodrigo De Paul,ARG,MF,Atlético Madrid,28,1994,2.8,244,221,19,7,0,3,20,7,5,2,1,0,189,4,3
Mattia De Sciglio,ITA,DF,Juventus,29,1992,1.1,60,53,7,0,0,2,6,7,0,0,0,0,45,0,3
Amar Dedić,BIH,DF,RB Salzburg,19,2002,6,283,200,83,4,0,1,9,79,0,0,0,0,183,0,8
Thomas Delaney,DEN,MF,Sevilla,30,1991,2.6,108,105,3,1,0,0,1,2,0,0,0,0,82,0,4
Ousmane Dembélé,FRA,FW,Barcelona,25,1997,4.6,259,230,28,9,2,2,51,1,18,7,7,0,176,1,9
Kerem Demirbay,GER,MF,Leverkusen,29,1993,3,228,198,30,3,0,1,28,4,21,7,13,0,175,0,6
Sergiño Dest,USA,DF,Milan,21,2000,2.1,90,77,12,0,0,1,3,12,0,0,0,0,64,1,5
Giovanni Di Lorenzo,ITA,DF,Napoli,28,1993,9.9,591,507,79,17,6,7,23,61,1,0,0,0,496,5,8
Ángel Di María,ARG,FW,Juventus,34,1988,1.6,78,65,11,2,4,2,10,1,8,5,2,0,53,2,1
Moussa Diaby,FRA,"FW,MF",Leverkusen,23,1999,5.6,202,188,13,2,1,1,16,1,2,1,0,0,149,1,7
Abdou Diallo,SEN,"DF,MF",RB Leipzig,26,1996,2.5,191,183,7,4,0,2,1,2,0,0,0,0,174,1,1
Rúben Dias,POR,DF,Manchester City,25,1997,11.7,959,938,19,16,0,3,2,1,0,0,0,0,908,2,2
Brahim Díaz,ESP,"MF,FW",Milan,22,1999,6.7,183,174,8,4,2,1,7,0,0,0,0,0,152,1,4
Luis Díaz,COL,FW,Liverpool,25,1997,3,99,97,2,0,0,1,2,2,0,0,0,0,79,0,2
Eric Dier,ENG,DF,Tottenham,28,1994,6.9,466,453,11,11,1,2,4,0,0,0,0,0,416,2,3
Kevin Diks,NED,DF,FC Copenhagen,25,1996,3.7,161,141,20,1,0,1,2,19,0,0,0,0,119,0,3
Federico Dimarco,ITA,DF,Inter,24,1997,8.1,399,324,70,8,0,8,63,40,21,6,10,0,273,5,10
Junior Dina Ebimbe,FRA,"MF,DF",Eint Frankfurt,21,2000,2.7,110,90,19,1,0,2,3,18,0,0,0,0,86,1,3
Marko Dmitrović,SRB,GK,Sevilla,30,1992,2,73,61,12,3,0,0,0,0,0,0,0,0,49,0,0
Matt Doherty,IRL,DF,Tottenham,30,1992,0.8,35,34,1,0,0,0,1,1,0,0,0,0,29,0,1
Kasper Dolberg,DEN,FW,Sevilla,24,1997,1.2,19,15,4,0,0,0,0,0,0,0,0,0,15,0,1
Gianluigi Donnarumma,ITA,GK,Paris S-G,23,1999,8,239,176,62,16,0,0,0,0,0,0,0,0,198,1,0
Julian Draxler,GER,MF,Benfica,28,1993,0.4,15,15,0,0,0,0,0,0,0,0,0,0,13,0,0
Josip Drmić,SUI,FW,Dinamo Zagreb,29,1992,1.1,22,20,2,0,0,0,1,0,0,0,0,0,15,0,0
Denzel Dumfries,NED,DF,Inter,26,1996,9.8,348,281,65,2,0,0,21,63,0,0,0,0,228,2,17
Edin Džeko,BIH,FW,Inter,36,1986,9.2,239,226,10,1,0,3,7,2,0,0,0,0,150,3,9
Ederson,BRA,GK,Manchester City,28,1993,11,347,285,61,15,0,4,0,0,0,0,0,0,292,1,0
Jorge Eduardo Sánchez,MEX,DF,Ajax,24,1997,3,136,114,22,1,0,0,3,21,0,0,0,0,115,0,5
Marcus Edwards,ENG,"FW,MF",Sporting CP,23,1998,3.9,113,105,8,0,2,0,6,1,3,3,0,0,85,0,4
Hugo Ekitike,FRA,"MF,FW",Paris S-G,20,2002,0.7,14,13,1,0,0,0,0,0,0,0,0,0,11,0,0
Harvey Elliott,ENG,MF,Liverpool,19,2003,4.4,239,231,7,0,0,1,5,2,0,0,0,0,190,1,8
Elif Elmas,MKD,"FW,MF",Napoli,22,1999,3.2,175,169,6,2,0,0,1,1,2,0,1,0,158,0,2
Emerson,BRA,"DF,MF",Tottenham,23,1999,6,322,270,50,4,0,3,15,45,1,0,0,0,248,2,13
Youssef En-Nesyri,MAR,FW,Sevilla,25,1997,2.7,28,20,8,0,0,0,2,0,0,0,0,0,19,0,1
Ricardo Esgaio,POR,"DF,MF",Sporting CP,29,1993,1.2,49,43,6,0,0,1,1,6,0,0,0,0,34,0,2
Dario Essugo,POR,MF,Sporting CP,17,2005,0.3,10,10,0,0,0,0,1,0,0,0,0,0,7,0,0
Stephen Eustáquio,CAN,MF,Porto,25,1996,6.6,292,268,24,13,2,0,22,0,11,6,2,0,209,0,5
Evanilson,BRA,FW,Porto,22,1999,5.7,134,129,5,1,1,0,1,1,0,0,0,0,109,0,2
Fabinho,BRA,MF,Liverpool,28,1993,7,460,442,16,16,1,2,1,0,0,0,0,0,405,2,5
Nicolò Fagioli,ITA,MF,Juventus,21,2001,1.2,70,68,2,2,0,0,1,0,0,0,0,0,67,0,0
Rasmus Falk,DEN,MF,FC Copenhagen,30,1992,2.1,101,100,1,1,0,0,0,0,0,0,0,0,89,0,5
Abdul Fatawu Issahaku,GHA,"MF,DF",Sporting CP,18,2004,1,27,19,8,0,0,0,2,5,3,2,0,0,20,0,0
Ansu Fati,ESP,FW,Barcelona,19,2002,2.7,105,102,3,0,0,0,4,1,2,2,0,0,90,0,1
Felipe,BRA,DF,Atlético Madrid,33,1989,1,54,54,0,0,0,0,0,0,0,0,0,0,46,0,0
João Félix,POR,"FW,MF",Chelsea,22,1999,2.7,96,80,15,1,3,0,12,0,8,6,2,0,67,1,1
João Félix,POR,FW,Atlético Madrid,22,1999,2.4,97,91,5,1,0,2,6,1,1,0,0,0,78,1,1
Mateus Fernandes,POR,MF,Sporting CP,18,2004,0.3,9,9,0,0,0,0,0,0,0,0,0,0,4,0,0
Enzo Fernández,ARG,MF,Benfica,21,2001,4.7,335,316,19,11,0,5,9,0,8,4,1,0,298,0,3
Enzo Fernández,ARG,MF,Chelsea,21,2001,3.7,269,261,6,5,1,2,5,0,1,1,0,0,226,2,3
Fernando,BRA,FW,RB Salzburg,23,1999,0.7,10,9,1,1,0,0,0,0,0,0,0,0,9,0,1
Fernando,BRA,MF,Sevilla,35,1987,1,72,70,2,2,0,2,0,0,0,0,0,0,69,0,1
Roberto Firmino,BRA,"FW,MF",Liverpool,30,1991,4.6,203,195,8,0,0,0,1,2,0,0,0,0,164,0,6
Phil Foden,ENG,"MF,FW",Manchester City,22,2000,4.3,232,218,14,5,3,2,22,1,7,1,6,0,190,0,11
Wesley Fofana,FRA,DF,Chelsea,21,2000,4.4,214,202,12,8,0,0,1,4,0,0,0,0,192,0,2
Bernardo Folha,POR,MF,Porto,20,2002,0.1,10,9,1,1,0,0,0,0,0,0,0,0,8,0,0
James Forrest,SCO,FW,Celtic,31,1991,1,55,55,0,0,0,0,10,0,0,0,0,0,38,0,0
Emil Forsberg,SWE,"MF,FW",RB Leipzig,30,1991,4.5,150,141,9,1,3,1,2,1,2,0,2,0,132,0,3
Fraser Forster,ENG,GK,Tottenham,34,1988,2,55,43,12,2,0,0,0,0,0,0,0,0,47,0,0
