Player,Nationality,Position,Club,Age,Born,90s,Goals,Shot Total,Shots on target,Shots on target %,Shots Total/90,Shots on target/90,Goals/shot,Goals/shot on target,Avg shot distance,Free kicks,Penalty kicks ,Penalty kicks attempted,Expected goal,Non-penalty expected goals,non-penalty expected goals/shot,Goals minus expected goals,Non-penalty goals minus non-penalty expected goals,Unnamed: 24
Jules Koundé, FRA,DF,Barcelona,23,1998,2.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Mateo Kovačić, CRO,MF,Chelsea,28,1994,6.9,1,4,1,25.0,0.58,0.14,0.25,1.0,19.8,0,0,0,0.3,0.3,0.06,0.7,0.7,
Adam Kronus, CZE,FW,Viktoria Plzeň,20,2002,0.0,0,2,0,0.0,60.0,0.0,0.0,,17.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,
Toni Kroos, GER,MF,Real Madrid,32,1990,9.4,0,10,1,10.0,1.07,0.11,0.0,0.0,27.5,0,0,0,0.3,0.3,0.03,-0.3,-0.3,
Rade Krunić, BIH,"MF,FW",Milan,28,1993,9.1,1,5,2,40.0,0.55,0.22,0.2,0.5,14.2,0,0,0,0.9,0.9,0.18,0.1,0.1,
Dmytro Kryskiv, UKR,MF,Shakhtar,21,2000,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Serhiy Kryvtsov, UKR,DF,Shakhtar,31,1991,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Dejan Kulusevski, SWE,"MF,DF",Tottenham,22,2000,2.2,0,3,0,0.0,1.35,0.0,0.0,,16.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,
Khvicha Kvaratskhelia, GEO,FW,Napoli,21,2001,7.7,2,35,11,31.4,4.55,1.43,0.03,0.09,17.9,0,1,3,5.7,3.3,0.1,-3.7,-2.3,
Konrad Laimer, AUT,"MF,FW",RB Leipzig,25,1997,2.9,0,2,0,0.0,0.69,0.0,0.0,,8.0,0,0,0,0.2,0.2,0.1,-0.2,-0.2,
Érik Lamela, ARG,"FW,MF",Sevilla,30,1992,3.1,0,3,2,66.7,0.97,0.65,0.0,0.0,16.9,0,0,0,0.5,0.5,0.16,-0.5,-0.5,
Noa Lang, NED,FW,Club Brugge,23,1999,3.2,0,2,1,50.0,0.62,0.31,0.0,0.0,30.0,0,0,1,0.8,0.1,0.03,-0.8,-0.1,
Aymeric Laporte, ESP,DF,Manchester City,28,1994,3.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Cyle Larin, CAN,"FW,MF",Club Brugge,27,1995,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Rasmus Lauritsen, DEN,DF,Dinamo Zagreb,26,1996,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Neta Lavi, ISR,MF,Maccabi Haifa,25,1996,5.2,0,1,0,0.0,0.19,0.0,0.0,,11.5,0,0,0,0.0,0.0,0.05,0.0,0,
Rafael Leão, POR,"FW,MF",Milan,23,1999,10.1,1,19,3,15.8,1.89,0.3,0.05,0.33,18.2,0,0,0,1.6,1.6,0.08,-0.6,-0.6,
Thomas Lemar, FRA,MF,Atlético Madrid,26,1995,1.2,0,1,0,0.0,0.87,0.0,0.0,,22.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,
Clément Lenglet, FRA,DF,Tottenham,27,1995,5.6,1,1,1,100.0,0.18,0.18,1.0,1.0,9.2,0,0,0,0.2,0.2,0.18,0.8,0.8,
Christopher Lenz, GER,DF,Eint Frankfurt,27,1994,2.5,0,2,1,50.0,0.8,0.4,0.0,0.0,19.3,0,0,0,0.3,0.3,0.14,-0.3,-0.3,
Lukas Lerager, DEN,MF,FC Copenhagen,29,1993,5.0,0,7,4,57.1,1.4,0.8,0.0,0.0,18.4,0,0,0,0.7,0.7,0.1,-0.7,-0.7,
Robert Lewandowski, POL,FW,Barcelona,33,1988,4.9,5,24,10,41.7,4.9,2.04,0.21,0.5,14.3,2,0,0,3.2,3.2,0.13,1.8,1.8,
Rico Lewis, ENG,DF,Manchester City,17,2004,1.3,1,2,1,50.0,1.51,0.76,0.5,1.0,21.1,0,0,0,0.3,0.3,0.14,0.7,0.7,
Matthijs de Ligt, NED,DF,Bayern Munich,22,1999,6.8,0,1,0,0.0,0.15,0.0,0.0,,9.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Jesper Lindstrøm, DEN,"MF,FW",Eint Frankfurt,22,2000,5.6,1,11,4,36.4,1.95,0.71,0.09,0.25,15.6,0,0,0,0.9,0.9,0.08,0.1,0.1,
Dominik Livaković, CRO,GK,Dinamo Zagreb,27,1995,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Robert Ljubicic, AUT,"FW,DF",Dinamo Zagreb,23,1999,6.0,1,6,1,16.7,1.0,0.17,0.17,1.0,21.5,0,0,0,0.3,0.3,0.05,0.7,0.7,
Marcos Llorente, ESP,"MF,FW",Atlético Madrid,27,1995,2.4,0,1,0,0.0,0.42,0.0,0.0,,20.7,0,0,0,0.0,0.0,0.0,0.0,0,
Hugo Lloris, FRA,GK,Tottenham,35,1986,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Danny Loader, ENG,"FW,MF",Porto,21,2000,0.6,0,4,2,50.0,6.92,3.46,0.0,0.0,12.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,
Stanislav Lobotka, SVK,MF,Napoli,27,1994,9.7,0,3,0,0.0,0.31,0.0,0.0,,26.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,
Manuel Locatelli, ITA,MF,Juventus,24,1998,2.5,0,8,1,12.5,3.24,0.41,0.0,0.0,25.3,0,0,0,0.5,0.5,0.06,-0.5,-0.5,
Ruben Loftus-Cheek, ENG,MF,Chelsea,26,1996,3.2,0,2,0,0.0,0.63,0.0,0.0,,24.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,
Pau López, ESP,GK,Marseille,27,1994,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Alexander lowry, SCO,MF,Rangers,19,2003,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Hirving Lozano, MEX,FW,Napoli,27,1995,5.2,1,12,4,33.3,2.31,0.77,0.08,0.25,16.8,0,0,0,1.3,1.3,0.11,-0.3,-0.3,
Florentino Luís, POR,MF,Benfica,22,1999,9.5,0,5,0,0.0,0.52,0.0,0.0,,21.1,0,0,0,0.4,0.4,0.07,-0.4,-0.4,
Romelu Lukaku, BEL,FW,Inter,29,1993,2.1,3,11,6,54.5,5.35,2.92,0.18,0.33,12.2,0,1,1,2.7,1.9,0.17,0.3,0.1,
John Lundstram, ENG,"MF,DF",Rangers,28,1994,5.0,0,1,0,0.0,0.2,0.0,0.0,,8.3,0,0,0,0.2,0.2,0.15,-0.2,-0.2,
Andriy Lunin, UKR,GK,Real Madrid,23,1999,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Mahir Madatov, AZE,FW,Dinamo Zagreb,25,1997,0.2,0,1,0,0.0,4.29,0.0,0.0,,31.8,0,0,0,0.0,0.0,0.02,0.0,0,
Daizen Maeda, JPN,FW,Celtic,24,1997,3.7,0,6,1,16.7,1.64,0.27,0.0,0.0,9.4,0,0,0,1.4,1.4,0.24,-1.4,-1.4,
Riyad Mahrez, ALG,"FW,MF",Manchester City,31,1991,5.6,3,9,4,44.4,1.6,0.71,0.22,0.5,23.0,1,1,3,3.5,1.1,0.12,-0.5,0.9,
Mike Maignan, FRA,GK,Milan,27,1995,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Donyell Malen, NED,"FW,MF",Dortmund,23,1999,2.8,0,8,1,12.5,2.9,0.36,0.0,0.0,17.0,0,0,0,0.9,0.9,0.11,-0.9,-0.9,
Reinildo Mandava, MOZ,DF,Atlético Madrid,28,1994,5.7,0,3,0,0.0,0.53,0.0,0.0,,20.4,0,0,0,0.3,0.1,0.02,-0.3,-0.1,
Sadio Mané, SEN,FW,Bayern Munich,30,1992,6.1,3,15,10,66.7,2.45,1.63,0.2,0.3,14.3,0,0,0,1.9,1.9,0.13,1.1,1.1,
Iván Marcano, ESP,DF,Porto,35,1987,3.0,0,1,0,0.0,0.33,0.0,0.0,,10.4,0,0,0,0.1,0.1,0.1,-0.1,-0.1,
Marcão, BRA,DF,Sevilla,26,1996,2.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
José María Giménez, URU,DF,Atlético Madrid,27,1995,4.5,0,4,1,25.0,0.9,0.22,0.0,0.0,15.8,0,0,0,0.5,0.5,0.13,-0.5,-0.5,
Mariano, DOM,FW,Real Madrid,28,1993,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Antonio Marin, CRO,FW,Dinamo Zagreb,21,2001,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
João Mário, POR,FW,Benfica,29,1993,9.6,6,7,1,14.3,0.73,0.1,0.14,1.0,29.9,0,5,5,4.7,0.7,0.1,1.3,0.3,
João Mário Lopes, POR,DF,Porto,22,2000,3.0,0,3,1,33.3,1.0,0.33,0.0,0.0,14.9,0,0,0,0.3,0.3,0.1,-0.3,-0.3,
Marquinhos, BRA,DF,Paris S-G,28,1994,7.3,0,2,1,50.0,0.28,0.14,0.0,0.0,8.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,
José Marsà, ESP,DF,Sporting CP,20,2002,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Lautaro Martínez, ARG,FW,Inter,24,1997,11.1,3,27,8,29.6,2.44,0.72,0.11,0.38,15.0,0,0,0,2.9,2.9,0.11,0.1,0.1,
Toni Martínez, ESP,FW,Porto,25,1997,1.3,0,4,0,0.0,3.19,0.0,0.0,,11.1,0,0,0,0.4,0.4,0.1,-0.4,-0.4,
Clinton Mata, ANG,DF,Club Brugge,29,1992,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Pape Matar Sarr, SEN,MF,Tottenham,19,2002,1.0,0,3,1,33.3,3.0,1.0,0.0,0.0,29.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,
Joël Matip, CMR,DF,Liverpool,30,1991,2.7,1,5,2,40.0,1.85,0.74,0.2,0.5,10.3,0,0,0,0.4,0.4,0.08,0.6,0.6,
Rabbi Matondo, WAL,"MF,FW",Rangers,21,2000,1.1,0,1,0,0.0,0.93,0.0,0.0,,9.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Mykola Matviyenko, UKR,DF,Shakhtar,26,1996,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Philipp Max, GER,DF,Eint Frankfurt,28,1993,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Eric Maxim Choupo-Moting, CMR,FW,Bayern Munich,33,1989,4.8,4,15,7,46.7,3.1,1.45,0.27,0.57,12.6,0,0,0,2.6,2.6,0.17,1.4,1.4,
Noussair Mazraoui, MAR,DF,Bayern Munich,24,1997,4.4,0,4,1,25.0,0.92,0.23,0.0,0.0,18.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,
Kylian Mbappé, FRA,FW,Paris S-G,23,1998,7.2,7,25,14,56.0,3.46,1.94,0.24,0.43,16.1,0,1,1,3.6,2.8,0.11,3.4,3.2,
Chancel Mbemba, COD,DF,Marseille,27,1994,4.5,2,4,2,50.0,0.89,0.44,0.5,1.0,17.4,0,0,0,0.4,0.4,0.11,1.6,1.6,
James McCarthy, IRL,MF,Celtic,31,1990,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Allan McGregor, SCO,GK,Rangers,40,1982,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Callum McGregor, SCO,MF,Celtic,29,1993,2.4,0,2,0,0.0,0.83,0.0,0.0,,24.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,
Weston McKennie, USA,MF,Juventus,23,1998,4.0,2,4,2,50.0,1.0,0.5,0.5,1.0,10.2,0,0,0,0.6,0.6,0.15,1.4,1.4,
Jon McLaughlin, SCO,GK,Rangers,34,1987,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Brandon Mechele, BEL,DF,Club Brugge,29,1993,8.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Bjorn Meijer, NED,DF,Club Brugge,19,2003,6.4,1,5,1,20.0,0.79,0.16,0.2,1.0,12.0,0,0,0,0.4,0.4,0.07,0.6,0.6,
Raz Meir, ISR,"DF,MF",Maccabi Haifa,25,1996,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Arthur Melo, BRA,MF,Liverpool,25,1996,0.2,0,1,0,0.0,6.43,0.0,0.0,,22.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Memphis, NED,FW,Barcelona,28,1994,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Sun Menachem, ISR,DF,Maccabi Haifa,28,1993,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Nuno Mendes, POR,"DF,MF",Paris S-G,20,2002,4.9,1,1,1,100.0,0.21,0.21,1.0,1.0,14.1,0,0,0,0.2,0.2,0.16,0.8,0.8,
Edouard Mendy, SEN,GK,Chelsea,30,1992,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Ferland Mendy, FRA,DF,Real Madrid,27,1995,3.9,0,1,0,0.0,0.26,0.0,0.0,,25.5,0,0,0,0.0,0.0,0.03,0.0,0,
Alex Meret, ITA,GK,Napoli,25,1997,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Lionel Messi, ARG,"FW,MF",Paris S-G,35,1987,6.8,4,23,8,34.8,3.38,1.17,0.17,0.5,18.8,4,0,0,2.6,2.6,0.11,1.4,1.4,
Junior Messias, BRA,"FW,DF",Milan,31,1991,3.5,1,6,2,33.3,1.71,0.57,0.17,0.5,17.4,0,0,0,0.4,0.4,0.07,0.6,0.6,
Thomas Meunier, BEL,DF,Dortmund,30,1991,3.9,0,2,0,0.0,0.51,0.0,0.0,,12.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Alexander Meyer, GER,GK,Dortmund,31,1991,4.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Simon Mignolet, BEL,GK,Club Brugge,34,1988,8.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Arkadiusz Milik, POL,FW,Juventus,28,1994,3.8,2,8,5,62.5,2.13,1.33,0.25,0.4,17.3,0,0,0,0.4,0.4,0.05,1.6,1.6,
Éder Militão, BRA,DF,Real Madrid,24,1998,8.3,1,4,1,25.0,0.48,0.12,0.25,1.0,22.6,0,0,0,0.5,0.5,0.12,0.5,0.5,
James Milner, ENG,MF,Liverpool,36,1986,2.7,0,1,0,0.0,0.37,0.0,0.0,,24.3,0,0,0,0.0,0.0,0.04,0.0,0,
Kim Min-jae, KOR,DF,Napoli,25,1996,8.7,0,1,0,0.0,0.11,0.0,0.0,,11.7,0,0,0,0.0,0.0,0.04,0.0,0,
Rafa Mir, ESP,"MF,FW",Sevilla,25,1997,1.7,1,8,3,37.5,4.62,1.73,0.13,0.33,13.3,0,0,0,0.5,0.5,0.06,0.5,0.5,
Fabio Miretti, ITA,"MF,FW",Juventus,18,2003,2.4,0,4,0,0.0,1.7,0.0,0.0,,19.1,0,0,0,0.3,0.3,0.09,-0.3,-,
Josip Mišić, CRO,MF,Dinamo Zagreb,28,1994,5.8,0,5,2,40.0,0.87,0.35,0.0,0.0,29.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Henrikh Mkhitaryan, ARM,MF,Inter,33,1989,10.1,2,15,8,53.3,1.49,0.79,0.13,0.25,16.6,0,0,0,1.7,1.7,0.12,0.3,0.3,Matches
Anthony Modeste, FRA,FW,Dortmund,34,1988,3.8,0,4,0,0.0,1.06,0.0,0.0,,16.4,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches
Luka Modrić, CRO,MF,Real Madrid,36,1985,8.3,2,6,2,33.3,0.73,0.24,0.17,0.5,21.4,0,1,1,1.3,0.5,0.09,0.7,0.5,Matches
Ali Mohamed, NIG,MF,Maccabi Haifa,26,1995,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Kudus Mohammed, GHA,FW,Ajax,21,2000,5.0,4,8,4,50.0,1.61,0.8,0.5,1.0,11.9,0,0,0,1.8,1.8,0.22,2.2,2.2,Matches
Sadegh Moharrami, IRN,"FW,DF",Dinamo Zagreb,26,1996,4.5,0,1,1,100.0,0.22,0.22,0.0,0.0,13.9,0,0,0,0.0,0.0,0.05,0.0,0,Matches
Nahuel Molina, ARG,"DF,MF",Atlético Madrid,24,1998,5.2,0,3,0,0.0,0.58,0.0,0.0,,17.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Gonzalo Montiel, ARG,DF,Sevilla,25,1997,2.5,1,1,1,100.0,0.4,0.4,1.0,1.0,5.2,0,0,0,0.1,0.1,0.15,0.9,0.9,Matches
Aaron Mooy, AUS,MF,Celtic,31,1990,1.7,0,1,0,0.0,0.59,0.0,0.0,,19.0,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Álvaro Morata, ESP,FW,Atlético Madrid,29,1992,3.3,0,4,2,50.0,1.22,0.61,0.0,0.0,10.3,0,0,0,1.0,1.0,0.25,-1.0,-1,Matches
Morato, BRA,DF,Benfica,21,2001,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Alfredo Morelos, COL,FW,Rangers,26,1996,2.8,0,6,2,33.3,2.11,0.7,0.0,0.0,15.3,0,0,0,1.6,1.6,0.26,-1.6,-1.6,Matches
Hidemasa Morita, JPN,MF,Sporting CP,27,1995,3.7,0,2,0,0.0,0.54,0.0,0.0,,43.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Jhon Mosquera, COL,"FW,MF",Viktoria Plzeň,32,1990,4.8,0,9,1,11.1,1.88,0.21,0.0,0.0,21.0,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Youssoufa Moukoko, GER,"FW,MF",Dortmund,17,2004,2.7,0,9,3,33.3,3.35,1.12,0.0,0.0,16.0,0,0,0,2.1,2.1,0.23,-2.1,-2.1,Matches
Mason Mount, ENG,MF,Chelsea,23,1999,4.9,0,14,4,28.6,2.86,0.82,0.0,0.0,21.2,2,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Lucas Moura, BRA,"FW,MF",Tottenham,29,1992,1.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Mykhailo Mudryk, UKR,"FW,DF",Chelsea,21,2001,1.0,0,3,1,33.3,2.87,0.96,0.0,0.0,20.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Mykhailo Mudryk, UKR,MF,Shakhtar,21,2001,5.7,3,9,6,66.7,1.57,1.05,0.33,0.5,19.4,1,0,0,1.1,1.1,0.12,1.9,1.9,Matches
Paul Mukairu, NGA,FW,FC Copenhagen,22,2000,0.5,0,2,0,0.0,4.09,0.0,0.0,,17.9,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
Nordi Mukiele, FRA,"DF,MF",Paris S-G,24,1997,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Thomas Müller, GER,"MF,FW",Bayern Munich,32,1989,4.1,1,9,4,44.4,2.21,0.98,0.11,0.25,13.6,0,0,0,1.3,1.3,0.15,-0.3,-0.3,Matches
Petar Musa, CRO,FW,Benfica,24,1998,1.4,2,5,3,60.0,3.49,2.09,0.4,0.67,12.1,0,0,0,0.5,0.5,0.1,1.5,1.5,Matches
Jamal Musiala, GER,"MF,FW",Bayern Munich,19,2003,5.9,0,10,4,40.0,1.7,0.68,0.0,0.0,14.4,0,0,0,1.5,1.5,0.16,-1.5,-1.5,Matches
Bohdan Mykhaylychenko, UKR,DF,Shakhtar,25,1997,4.0,0,5,0,0.0,1.25,0.0,0.0,,23.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Obite N'Dicka, FRA,DF,Eint Frankfurt,22,1999,8.0,0,3,0,0.0,0.37,0.0,0.0,,12.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Nacho, ESP,DF,Real Madrid,32,1990,4.9,0,1,1,100.0,0.2,0.2,0.0,0.0,25.9,0,0,0,0.0,0.0,0.02,0.0,0,Matches
Jesús Navas, ESP,"DF,MF",Sevilla,36,1985,2.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Flávio Nazinho, POR,"DF,MF",Sporting CP,19,2003,1.3,0,2,1,50.0,1.5,0.75,0.0,0.0,15.0,0,0,0,0.4,0.4,0.26,-0.4,-0.4,Matches
Tanguy Ndombele, FRA,MF,Napoli,25,1996,4.1,1,8,3,37.5,1.93,0.72,0.13,0.33,17.8,0,0,0,0.9,0.9,0.11,0.1,0.1,Matches
David Neres, BRA,"FW,MF",Benfica,25,1997,4.9,3,11,5,45.5,2.23,1.01,0.27,0.6,13.9,0,0,0,1.9,1.9,0.17,1.1,1.1,Matches
Luís Neto, POR,DF,Sporting CP,34,1988,0.4,0,1,0,0.0,2.31,0.0,0.0,,14.4,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Manuel Neuer, GER,GK,Bayern Munich,36,1986,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
João Neves, POR,"FW,MF",Benfica,17,2004,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Neymar, BRA,"MF,FW",Paris S-G,30,1992,6.0,2,18,6,33.3,3.01,1.0,0.11,0.33,18.9,4,0,0,2.1,2.1,0.12,-0.1,-0.1,Matches
Tanguy Nianzou, FRA,DF,Sevilla,20,2002,2.0,1,2,1,50.0,1.0,0.5,0.5,1.0,11.4,0,0,0,0.1,0.1,0.07,0.9,0.9,Matches
Casper Nielsen, DEN,MF,Club Brugge,28,1994,7.2,0,8,1,12.5,1.12,0.14,0.0,0.0,20.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Saúl Ñíguez, ESP,"MF,DF",Atlético Madrid,27,1994,3.1,0,5,1,20.0,1.6,0.32,0.0,0.0,16.7,0,0,0,0.6,0.2,0.05,-0.6,-0.2,Matches
Christopher Nkunku, FRA,"MF,FW",RB Leipzig,24,1997,6.2,3,15,8,53.3,2.4,1.28,0.2,0.38,14.3,1,0,0,1.6,1.6,0.11,1.4,1.4,Matches
Hugo Novoa, ESP,MF,RB Leipzig,19,2003,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Darwin Núñez, URU,FW,Liverpool,23,1999,4.4,4,22,13,59.1,4.96,2.93,0.18,0.31,13.9,0,0,0,5.0,5.0,0.23,-1.0,-1,Matches
Antonio Nusa, NOR,FW,Club Brugge,17,2005,0.6,1,1,1,100.0,1.58,1.58,1.0,1.0,19.1,0,0,0,0.3,0.3,0.26,0.7,0.7,Matches
Matt O'Riley, DEN,MF,Celtic,21,2000,5.3,0,16,5,31.3,2.99,0.94,0.0,0.0,21.0,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Jan Oblak, SVN,GK,Atlético Madrid,29,1993,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Lucas Ocampos, ARG,FW,Ajax,28,1994,0.2,0,1,1,100.0,5.29,5.29,0.0,0.0,15.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Oleh Ocheretko, UKR,MF,Shakhtar,19,2003,0.2,0,1,0,0.0,6.43,0.0,0.0,,18.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Denis Odoi, GHA,"DF,MF",Club Brugge,34,1988,5.8,0,1,0,0.0,0.17,0.0,0.0,,23.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Noah Okafor, SUI,FW,RB Salzburg,22,2000,5.2,3,10,5,50.0,1.94,0.97,0.2,0.4,18.2,0,1,1,1.7,0.9,0.09,1.3,1.1,Matches
Mathías Olivera, URU,DF,Napoli,24,1997,5.7,0,4,0,0.0,0.7,0.0,0.0,,7.6,0,0,0,0.6,0.6,0.14,-0.6,-0.6,Matches
Dani Olmo, ESP,"FW,MF",RB Leipzig,24,1998,0.7,0,2,0,0.0,2.77,0.0,0.0,,16.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
André Onana, CMR,GK,Inter,26,1996,13.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Raphael Onyedika, NGA,MF,Club Brugge,21,2001,6.3,0,7,0,0.0,1.11,0.0,0.0,,23.8,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Willi Orban, HUN,DF,RB Leipzig,29,1992,8.0,0,4,1,25.0,0.5,0.12,0.0,0.0,10.1,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
Divock Origi, BEL,FW,Milan,27,1995,1.7,0,6,2,33.3,3.51,1.17,0.0,0.0,14.9,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
Mislav Oršić, CRO,FW,Dinamo Zagreb,29,1992,5.4,2,13,3,23.1,2.39,0.55,0.15,0.67,21.7,1,0,0,1.1,1.1,0.08,0.9,0.9,Matches
Stefan Ortega, GER,GK,Manchester City,29,1992,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Victor Osimhen, NGA,FW,Napoli,23,1998,4.7,5,15,7,46.7,3.21,1.5,0.33,0.71,12.2,0,0,1,4.9,4.1,0.28,0.1,0.9,Matches
Nicolás Otamendi, ARG,DF,Benfica,34,1988,8.8,0,4,0,0.0,0.45,0.0,0.0,,22.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Otávio, POR,MF,Porto,27,1995,5.8,0,5,2,40.0,0.86,0.34,0.0,0.0,17.9,0,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches
Alex Oxlade-Chamberlain, ENG,MF,Liverpool,28,1993,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Salih Özcan, TUR,MF,Dortmund,24,1998,6.0,0,2,1,50.0,0.33,0.17,0.0,0.0,25.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Exequiel Palacios, ARG,MF,Leverkusen,23,1998,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Cole Palmer, ENG,"MF,FW",Manchester City,20,2002,1.5,0,4,2,50.0,2.61,1.3,0.0,0.0,17.6,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Antonios Papadopoulos, GER,"MF,FW",Dortmund,22,1999,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,Matches
Leandro Paredes, ARG,MF,Juventus,28,1994,3.9,0,3,0,0.0,0.76,0.0,0.0,,27.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
