Player,Nationality,Position,Club,Age,Born,90s,Goals,Shot Total,Shots on target,Shots on target %,Shots Total/90,Shots on target/90,Goals/shot,Goals/shot on target,Avg shot distance,Free kicks,Penalty kicks ,Penalty kicks attempted,Expected goal,Non-penalty expected goals,non-penalty expected goals/shot,Goals minus expected goals,Non-penalty goals minus non-penalty expected goals,Unnamed: 24
Sead Haksabanović, MNE,"MF,FW",Celtic,23,1999,2.5,0,2,2,100.0,0.79,0.79,0.0,0.0,15.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Sébastien Haller, CIV,FW,Dortmund,28,1994,1.6,0,2,0,0.0,1.26,0.0,0.0,,10.2,0,0,0,0.2,0.2,0.11,-0.2,-0.2,
Marcel Halstenberg, GER,DF,RB Leipzig,30,1991,1.9,0,1,0,0.0,0.54,0.0,0.0,,12.2,0,0,0,0.0,0.0,0.02,0.0,0,
Amine Harit, MAR,MF,Marseille,25,1997,4.2,1,9,5,55.6,2.13,1.18,0.11,0.2,18.7,0,0,0,1.0,1.0,0.12,0.0,0,
Joe Hart, ENG,GK,Celtic,35,1987,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Makoto Hasebe, JPN,DF,Eint Frankfurt,38,1984,2.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Reo Hatate, JPN,MF,Celtic,24,1997,5.0,0,6,2,33.3,1.21,0.4,0.0,0.0,24.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,
Milan Havel, CZE,DF,Viktoria Plzeň,27,1994,4.7,0,1,0,0.0,0.21,0.0,0.0,,16.7,0,0,0,0.0,0.0,0.05,0.0,0,
Kai Havertz, GER,"FW,MF",Chelsea,23,1999,6.9,2,24,7,29.2,3.49,1.02,0.04,0.14,14.1,0,1,1,2.6,1.8,0.08,-0.6,-0.8,
Eden Hazard, BEL,"FW,MF",Real Madrid,31,1991,1.5,1,2,1,50.0,1.36,0.68,0.5,1.0,6.9,0,0,0,0.9,0.9,0.44,0.1,0.1,
Thorgan Hazard, BEL,"DF,FW",Dortmund,29,1993,2.2,1,4,1,25.0,1.8,0.45,0.25,1.0,21.2,1,0,0,0.3,0.3,0.06,0.7,0.7,
Dolev Haziz, ISR,DF,Maccabi Haifa,27,1995,2.3,0,1,0,0.0,0.43,0.0,0.0,,24.6,0,0,0,0.0,0.0,0.03,0.0,0,
Lukáš Hejda, CZE,DF,Viktoria Plzeň,32,1990,5.7,0,2,0,0.0,0.35,0.0,0.0,,8.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Jordan Henderson, ENG,MF,Liverpool,32,1990,3.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Jack Hendry, SCO,DF,Club Brugge,27,1995,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0,
Benjamin Henrichs, GER,"DF,MF",RB Leipzig,25,1997,2.2,0,2,0,0.0,0.89,0.0,0.0,,13.4,0,0,0,0.3,0.3,0.13,-0.3,-0.3,
Mario Hermoso, ESP,DF,Atlético Madrid,27,1995,1.8,1,4,1,25.0,2.28,0.57,0.25,1.0,15.7,0,0,0,0.7,0.7,0.17,0.3,0.3,
Lucas Hernández, FRA,DF,Bayern Munich,26,1996,1.9,1,1,1,100.0,0.52,0.52,1.0,1.0,3.3,0,0,0,0.4,0.4,0.36,0.6,0.6,
Theo Hernández, FRA,DF,Milan,24,1997,10.5,0,10,2,20.0,0.95,0.19,0.0,0.0,27.2,3,0,0,0.5,0.5,0.05,-0.5,-0.5,
Son Heung-min, KOR,"MF,FW",Tottenham,30,1992,6.9,2,15,8,53.3,2.18,1.17,0.13,0.25,18.4,0,0,0,1.5,1.5,0.1,0.5,0.5,
Piero Hincapié, ECU,DF,Leverkusen,20,2002,5.0,0,1,0,0.0,0.2,0.0,0.0,,27.8,0,0,0,0.0,0.0,0.03,0.0,0,
Adam Hložek, CZE,"MF,FW",Leverkusen,20,2002,3.1,0,5,5,100.0,1.64,1.64,0.0,0.0,19.3,1,0,0,0.5,0.5,0.09,-0.5,-0.5,
Libor Holík, CZE,DF,Viktoria Plzeň,24,1998,3.2,0,3,1,33.3,0.93,0.31,0.0,0.0,18.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,
