Player,Nationality,Position,Club,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!.1,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
Alex Oxlade-Chamberlain, ENG,MF,Liverpool,28,1993,1,18,18.0,2.5,0.2,0,,0,1,18.0,1,0.0,0.0,1.0,-1.0,-5.0,-6.03,0.0,0.8,-0.7,-3.75,-4.36
Salih Özcan, TUR,MF,Dortmund,24,1998,7,541,77.0,75.1,6.0,7,77.0,2,0,,0,1.57,10.0,7.0,3.0,0.5,0.0,7.9,9.3,-1.3,-0.22,-0.43
Exequiel Palacios, ARG,MF,Leverkusen,23,1998,2,90,45.0,16.7,1.0,1,45.0,0,1,45.0,0,0.5,0.0,0.0,0.0,0.0,0.8,1.1,0.6,0.6,0.56,0.37
Cole Palmer, ENG,"MF,FW",Manchester City,20,2002,4,138,35.0,11.8,1.5,1,69.0,0,3,23.0,9,2.5,4.0,1.0,3.0,1.96,-0.14,4.3,0.8,3.5,2.3,1.21
Antonios Papadopoulos, GER,"MF,FW",Dortmund,22,1999,2,10,5.0,1.4,0.1,0,,0,2,5.0,3,2.0,0.0,0.0,0.0,0.0,-0.51,0.0,0.4,-0.4,-3.16,-3.09
Leandro Paredes, ARG,MF,Juventus,28,1994,4,354,89.0,65.6,3.9,4,89.0,3,0,,0,0.75,5.0,7.0,-2.0,-0.51,0.46,4.0,6.4,-2.4,-0.69,-0.83
Felix Passlack, GER,DF,Dortmund,24,1998,1,90,90.0,12.5,1.0,1,90.0,1,0,,6,1.0,1.0,1.0,0.0,0.0,-0.57,1.2,1.8,-0.6,-0.58,-0.53
Remko Pasveer, NED,GK,Ajax,38,1983,6,540,90.0,100.0,6.0,6,90.0,6,0,,0,1.0,11.0,16.0,-5.0,-0.83,,8.3,12.2,-3.9,-0.65,
Paulinho, POR,FW,Sporting CP,29,1992,5,236,47.0,43.7,2.6,2,82.0,1,3,24.0,1,1.4,5.0,3.0,2.0,0.76,1.65,1.5,3.3,-1.8,-0.68,0.57
Paulinho, BRA,FW,Leverkusen,22,2000,2,49,25.0,9.1,0.5,0,,0,2,25.0,3,0.5,0.0,1.0,-1.0,-1.84,-1.29,0.8,2.1,-1.3,-2.44,-2.96
