Player,Nationality,Position,Club,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!.1,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
Mário Rui, POR,DF,Napoli,31,1991,6,386,64.0,42.9,4.3,5,74.0,2,1,17.0,4,2.17,7.0,1.0,6.0,1.4,-0.7,8.6,5.2,3.3,0.78,-0.77
Fabián Ruiz Peña, ESP,MF,Paris S-G,26,1996,7,238,34.0,33.1,2.6,3,59.0,0,4,15.0,1,1.57,8.0,3.0,5.0,1.89,1.7,4.5,2.9,1.7,0.62,0.79
Nikita Rukavytsya, AUS,"FW,MF",Maccabi Haifa,35,1987,6,47,8.0,8.7,0.5,0,,0,6,8.0,0,1.18,0.0,3.0,-3.0,-5.74,-3.74,0.4,1.4,-1.0,-1.88,-1.45
Mathew Ryan, AUS,GK,FC Copenhagen,30,1992,2,180,90.0,33.3,2.0,2,90.0,2,0,,3,1.25,0.0,3.0,-3.0,-1.5,0.5,1.2,3.1,-1.9,-0.93,0.2
Julian Ryerson, NOR,DF,Dortmund,24,1997,1,18,18.0,2.5,0.2,0,,0,1,18.0,0,3.0,0.0,0.0,0.0,0.0,-0.51,0.0,0.6,-0.6,-3.12,-3.08
Kyriani Sabbe, BEL,DF,Club Brugge,17,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
Marcel Sabitzer, AUT,MF,Bayern Munich,28,1994,6,280,47.0,31.1,3.1,3,65.0,1,3,28.0,0,3.0,4.0,1.0,3.0,0.96,-0.92,5.4,3.4,2.0,0.64,-0.29
Alexis Saelemaekers, BEL,"FW,DF",Milan,23,1999,8,371,46.0,34.4,4.1,4,73.0,0,4,20.0,0,1.5,5.0,5.0,0.0,0.0,-0.51,5.8,5.3,0.5,0.12,-0.07
Fashion Sakala, ZAM,"FW,MF",Rangers,25,1997,4,235,59.0,43.5,2.6,2,83.0,1,2,35.0,2,0.6,2.0,8.0,-6.0,-2.3,1.83,3.1,4.9,-1.8,-0.69,1.55
Mohamed Salah, EGY,FW,Liverpool,30,1992,8,624,78.0,86.7,6.9,7,86.0,6,1,23.0,0,1.88,16.0,11.0,5.0,0.72,-1.15,13.2,9.7,3.5,0.5,-0.06
Renato Sanches, POR,MF,Paris S-G,24,1997,3,141,47.0,19.6,1.6,1,67.0,0,2,37.0,1,3.0,7.0,3.0,4.0,2.55,2.24,2.5,2.2,0.3,0.16,0.08
Alexis Sánchez, CHI,FW,Marseille,33,1988,5,418,84.0,77.4,4.6,5,84.0,4,0,,0,1.2,8.0,6.0,2.0,0.43,1.91,7.5,3.0,4.5,0.98,1.72
Davinson Sánchez, COL,DF,Tottenham,26,1996,2,21,11.0,2.9,0.2,0,,0,2,11.0,6,2.0,0.0,1.0,-1.0,-4.29,-4.54,0.8,0.9,-0.1,-0.26,-0.43
Cisse Sandra, BEL,FW,Club Brugge,18,2003,1,8,8.0,1.1,0.1,0,,0,1,8.0,7,3.0,0.0,0.0,0.0,0.0,0.38,0.0,0.2,-0.2,-2.3,-1.2
Alex Sandro, BRA,DF,Juventus,31,1991,4,239,60.0,44.3,2.7,2,82.0,1,2,38.0,1,0.75,5.0,5.0,0.0,0.0,1.2,4.2,4.5,-0.4,-0.13,0.36
James Sands, USA,"DF,MF",Rangers,22,2000,4,324,81.0,60.0,3.6,4,81.0,3,0,,1,0.88,1.0,10.0,-9.0,-2.5,2.08,3.9,6.4,-2.5,-0.69,2.2
Leroy Sané, GER,"FW,MF",Bayern Munich,26,1996,8,552,69.0,61.3,6.1,7,76.0,1,1,23.0,0,2.38,14.0,5.0,9.0,1.47,-0.34,12.1,8.0,4.0,0.66,-0.48
Nuno Santos, POR,"DF,MF",Sporting CP,27,1995,6,295,49.0,54.6,3.3,5,57.0,0,1,12.0,0,1.17,4.0,5.0,-1.0,-0.31,-0.31,2.2,4.7,-2.5,-0.75,0.56
Zaidu Sanusi, NGA,DF,Porto,25,1997,8,585,73.0,81.3,6.5,7,80.0,3,1,28.0,0,1.63,12.0,6.0,6.0,0.92,2.26,12.8,8.1,4.8,0.73,1.33
Alvaro Sanz, ESP,MF,Barcelona,21,2001,1,14,14.0,2.6,0.2,0,,0,1,14.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-0.3,-2.16,-2.31
Pablo Sarabia, ESP,MF,Paris S-G,30,1992,3,91,30.0,12.6,1.0,1,73.0,0,2,9.0,3,1.67,2.0,1.0,1.0,0.99,0.27,1.6,1.1,0.5,0.45,0.4
Bouna Sarr, SEN,"DF,MF",Bayern Munich,30,1992,0,,,,,0,,0,0,,4,,,,,,,,,,,
Stefan Savić, MNE,DF,Atlético Madrid,31,1991,3,270,90.0,50.0,3.0,3,90.0,3,0,,1,0.33,1.0,4.0,-3.0,-1.0,-0.67,5.2,4.6,0.7,0.22,0.54
Johannes Schenk, GER,GK,Bayern Munich,19,2003,0,,,,,0,,0,0,,6,,,,,,,,,,,
Patrik Schick, CZE,FW,Leverkusen,26,1996,5,446,89.0,82.6,5.0,5,89.0,3,0,,1,0.8,2.0,6.0,-4.0,-0.81,-0.81,7.5,4.9,2.6,0.53,1.6
Andreas Schjelderup, NOR,FW,Benfica,18,2004,1,2,2.0,0.2,0.0,0,,0,1,2.0,3,1.0,1.0,0.0,1.0,45.0,43.8,0.1,0.0,0.1,4.8,3.98
Xaver Schlager, AUT,MF,RB Leipzig,24,1997,7,583,83.0,81.0,6.5,7,83.0,4,0,,0,1.86,14.0,8.0,6.0,0.93,6.84,10.5,7.3,3.2,0.49,3.07
Timo Schlieck, GER,GK,RB Leipzig,16,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
Nico Schlotterbeck, GER,DF,Dortmund,22,1999,8,561,70.0,77.9,6.2,6,90.0,6,2,11.0,0,1.5,9.0,6.0,3.0,0.48,-0.08,9.5,10.2,-0.7,-0.12,0.01
Abdoulaye Seck, SEN,DF,Maccabi Haifa,30,1992,6,397,66.0,73.5,4.4,4,84.0,3,2,31.0,0,0.5,4.0,20.0,-16.0,-3.63,-4.89,4.8,8.2,-3.4,-0.77,-0.77
Nicolas Seiwald, AUT,MF,RB Salzburg,21,2001,6,540,90.0,100.0,6.0,6,90.0,6,0,,0,1.0,5.0,9.0,-4.0,-0.67,,8.3,6.9,1.4,0.23,
Benjamin Šeško, SVN,FW,RB Salzburg,19,2003,6,330,55.0,61.1,3.7,3,81.0,1,3,29.0,0,1.0,2.0,4.0,-2.0,-0.55,0.31,4.6,3.1,1.5,0.42,0.48
Ryan Sessegnon, ENG,"MF,DF",Tottenham,22,2000,3,155,52.0,21.5,1.7,2,68.0,1,1,20.0,3,2.33,3.0,3.0,0.0,0.0,-0.16,3.1,2.0,1.2,0.67,0.66
Oleksiy Shevchenko, UKR,GK,Shakhtar,30,1992,0,,,,,0,,0,0,,6,,,,,,,,,,,
Maryan Shved, UKR,MF,Shakhtar,25,1997,3,187,62.0,34.6,2.1,3,62.0,0,0,,0,1.33,4.0,4.0,0.0,0.0,0.51,1.2,4.1,-2.9,-1.4,-0.33
Benjamin Siegrist, SUI,GK,Celtic,30,1992,0,,,,,0,,0,0,,6,,,,,,,,,,,
Danylo Sikan, UKR,FW,Shakhtar,21,2001,4,104,26.0,19.3,1.2,0,,0,4,26.0,2,0.5,1.0,3.0,-2.0,-1.73,-1.73,0.6,2.9,-2.3,-1.99,-0.99
André Silva, POR,FW,RB Leipzig,26,1995,8,533,67.0,74.0,5.9,6,82.0,3,2,20.0,0,1.63,12.0,9.0,3.0,0.51,3.39,9.2,5.4,3.8,0.64,2.84
António Silva, POR,DF,Benfica,18,2003,10,894,89.0,99.3,9.9,10,89.0,8,0,,0,2.1,25.0,13.0,12.0,1.21,-13.79,19.0,10.9,8.2,0.82,0.02
Bernardo Silva, POR,"FW,MF",Manchester City,27,1994,13,911,70.0,77.9,10.1,9,87.0,8,4,32.0,0,2.23,30.0,3.0,27.0,2.67,2.67,22.2,8.2,14.0,1.39,0.73
Rafa Silva, POR,MF,Benfica,29,1993,10,819,82.0,91.0,9.1,10,82.0,3,0,,0,2.36,21.0,13.0,8.0,0.88,-4.68,17.2,10.3,6.9,0.75,-0.76
Thiago Silva, BRA,DF,Chelsea,37,1984,8,640,80.0,71.1,7.1,7,88.0,6,1,26.0,0,1.63,8.0,7.0,1.0,0.14,-0.55,12.0,8.3,3.7,0.52,-0.12
Mohamed Simakan, FRA,DF,RB Leipzig,22,2000,7,511,73.0,71.0,5.7,6,81.0,2,1,28.0,1,1.71,11.0,7.0,4.0,0.7,3.72,9.9,5.2,4.7,0.83,3.2
Giovanni Simeone, ARG,FW,Napoli,27,1995,7,263,38.0,29.2,2.9,2,83.0,1,5,19.0,1,2.57,7.0,2.0,5.0,1.71,-0.13,7.3,3.6,3.7,1.26,0.06
Roko Simic, CRO,FW,RB Salzburg,18,2003,2,18,9.0,3.3,0.2,0,,0,2,9.0,4,0.5,0.0,0.0,0.0,0.0,0.69,0.2,0.2,0.0,-0.24,-0.48
Salvatore Sirigu, ITA,GK,Napoli,35,1987,0,,,,,0,,0,0,,5,,,,,,,,,,,
Oliver Skipp, ENG,MF,Tottenham,21,2000,4,211,53.0,29.3,2.3,2,90.0,2,2,16.0,4,1.75,1.0,2.0,-1.0,-0.43,-0.78,1.9,3.9,-2.0,-0.87,-1.44
Leo Skiri Østigård, NOR,DF,Napoli,22,1999,3,197,66.0,21.9,2.2,2,90.0,2,1,17.0,7,1.33,4.0,2.0,2.0,0.91,-1.13,3.5,3.2,0.3,0.13,-1.39
Andreas Skov Olsen, DEN,"FW,MF",Club Brugge,22,1999,5,295,59.0,41.0,3.3,4,68.0,0,1,24.0,0,1.6,4.0,4.0,0.0,0.0,0.64,3.6,5.7,-2.0,-0.62,0.83
Milan Škriniar, SVK,DF,Inter,27,1995,8,536,67.0,45.8,6.0,6,85.0,4,2,13.0,1,1.75,10.0,5.0,5.0,0.84,0.41,9.0,8.0,1.0,0.16,-0.1
Hrvoje Smolčić, CRO,DF,Eint Frankfurt,21,2000,3,122,41.0,16.9,1.4,1,90.0,1,2,16.0,5,2.0,3.0,1.0,2.0,1.48,2.68,1.5,1.7,-0.2,-0.16,0.54
Samuel Soares, POR,GK,Benfica,20,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Eduard Sobol, UKR,"FW,DF",Club Brugge,27,1995,4,109,27.0,15.1,1.2,1,78.0,0,3,10.0,1,2.5,1.0,0.0,1.0,0.83,1.41,1.5,1.6,-0.1,-0.11,1.18
Carlos Soler, ESP,MF,Paris S-G,25,1997,6,155,26.0,21.5,1.7,2,62.0,0,4,8.0,2,2.17,2.0,2.0,0.0,0.0,-0.96,2.1,2.0,0.1,0.05,-0.06
Oumar Solet, FRA,DF,RB Salzburg,22,2000,4,266,67.0,49.3,3.0,4,67.0,2,0,,0,1.25,3.0,3.0,0.0,0.0,1.31,5.1,3.1,2.1,0.69,0.92
Yann Sommer, SUI,GK,Bayern Munich,33,1988,4,360,90.0,40.0,4.0,4,90.0,4,0,,0,1.75,4.0,4.0,0.0,0.0,-2.67,6.2,5.0,1.1,0.28,-0.94
Matìas Soulé, ARG,"MF,FW",Juventus,19,2003,3,44,15.0,8.1,0.5,0,,0,3,15.0,3,0.0,2.0,0.0,2.0,4.09,5.18,1.1,1.1,0.0,0.07,0.44
Vasco Sousa, POR,MF,Porto,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Djibril Sow, SUI,MF,Eint Frankfurt,25,1997,8,720,90.0,100.0,8.0,8,90.0,8,0,,0,1.25,7.0,13.0,-6.0,-0.75,,8.0,12.9,-4.9,-0.61,
Kamal Sowah, GHA,"FW,MF",Club Brugge,22,2000,7,591,84.0,82.1,6.6,7,84.0,3,0,,0,1.57,7.0,5.0,2.0,0.3,3.79,6.4,12.3,-5.9,-0.89,1.25
Djed Spence, ENG,"DF,MF",Tottenham,21,2000,0,,,,,0,,0,0,,6,,,,,,,,,,,
Dario Špikić, CRO,"FW,DF",Dinamo Zagreb,23,1999,6,167,28.0,30.9,1.9,1,78.0,0,5,18.0,0,1.42,1.0,4.0,-3.0,-1.62,-0.65,1.4,4.8,-3.4,-1.81,-0.61
Jorne Spileers, BEL,DF,Club Brugge,17,2005,1,2,2.0,0.3,0.0,0,,0,1,2.0,1,3.0,0.0,0.0,0.0,0.0,0.38,0.0,0.2,-0.2,-9.8,-8.71
Jerry St. Juste, NED,DF,Sporting CP,25,1996,4,189,47.0,35.0,2.1,3,58.0,0,1,16.0,0,1.0,2.0,6.0,-4.0,-1.9,-2.67,1.2,3.9,-2.7,-1.27,-0.41
Marko Stamenic, NZL,MF,FC Copenhagen,20,2002,3,269,90.0,49.8,3.0,3,90.0,2,0,,2,1.25,0.0,5.0,-5.0,-1.67,0.32,1.4,6.7,-5.3,-1.76,-1.39
Jindřich Staněk, CZE,GK,Viktoria Plzeň,26,1996,5,450,90.0,83.3,5.0,5,90.0,5,0,,1,1.45,5.0,19.0,-14.0,-2.8,2.2,5.1,12.6,-7.6,-1.52,0.43
Josip Stanišić, CRO,DF,Bayern Munich,22,2000,8,349,44.0,38.8,3.9,3,90.0,3,5,16.0,2,2.75,12.0,2.0,10.0,2.58,1.6,9.1,3.3,5.8,1.49,1.06
Aleksandar Stanković, SRB,FW,Inter,16,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
Carl Starfelt, SWE,DF,Celtic,27,1995,1,90,90.0,16.7,1.0,1,90.0,1,0,,0,0.0,1.0,5.0,-4.0,-4.0,-2.6,2.1,3.8,-1.8,-1.78,-1.79
Daniel Štefulj, CRO,DF,Dinamo Zagreb,22,1999,0,,,,,0,,0,0,,6,,,,,,,,,,,
Orri Steinn Óskarsson, ISL,"MF,FW",FC Copenhagen,17,2004,2,22,11.0,4.1,0.2,0,,0,2,11.0,1,0.5,0.0,2.0,-2.0,-8.18,-6.62,0.8,0.7,0.1,0.54,1.68
Maarten Stekelenburg, NED,GK,Ajax,39,1982,0,,,,,0,,0,0,,6,,,,,,,,,,,
Taras Stepanenko, UKR,MF,Shakhtar,32,1989,6,532,89.0,98.5,5.9,6,89.0,4,0,,0,1.0,8.0,10.0,-2.0,-0.34,-0.34,3.7,9.9,-6.2,-1.05,9.4
Raheem Sterling, ENG,"FW,MF",Chelsea,27,1994,9,630,70.0,70.0,7.0,8,76.0,0,1,24.0,0,1.78,12.0,6.0,6.0,0.86,1.86,10.3,7.3,3.0,0.43,-0.43
John Stones, ENG,"MF,DF",Manchester City,28,1994,8,684,86.0,58.5,7.6,8,86.0,6,0,,1,2.25,18.0,3.0,15.0,1.97,-0.25,13.7,7.6,6.1,0.8,-1.03
Luka Sučić, CRO,MF,RB Salzburg,19,2002,5,398,80.0,73.7,4.4,5,80.0,2,0,,0,1.0,3.0,7.0,-4.0,-0.9,-0.9,6.4,5.4,0.9,0.21,-0.06
Heorhii Sudakov, UKR,MF,Shakhtar,19,2002,6,480,80.0,88.9,5.3,6,80.0,1,0,,0,1.0,8.0,7.0,1.0,0.19,4.69,3.4,8.3,-4.9,-0.92,2.49
Niklas Süle, GER,DF,Dortmund,26,1995,8,675,84.0,93.8,7.5,7,90.0,7,1,45.0,0,1.5,10.0,6.0,4.0,0.53,0.53,10.1,10.3,-0.2,-0.03,1.45
Daniel Sundgren, SWE,DF,Maccabi Haifa,31,1990,4,324,81.0,60.0,3.6,4,81.0,3,0,,0,1.4,4.0,6.0,-2.0,-0.56,4.44,3.9,4.9,-1.0,-0.29,0.69
Suso, ESP,"FW,MF",Sevilla,28,1993,6,237,40.0,43.9,2.6,3,52.0,0,3,27.0,0,0.83,1.0,8.0,-7.0,-2.66,-2.96,2.0,4.2,-2.2,-0.82,-0.03
Josip Šutalo, CRO,DF,Dinamo Zagreb,22,2000,6,540,90.0,100.0,6.0,6,90.0,6,0,,0,0.71,4.0,11.0,-7.0,-1.17,,4.2,12.5,-8.3,-1.39,
Jan Sýkora, CZE,"FW,DF",Viktoria Plzeň,28,1993,2,148,74.0,27.4,1.6,2,74.0,0,0,,0,2.0,1.0,7.0,-6.0,-3.65,-0.66,1.0,4.0,-2.9,-1.79,-0.28
Abakar Sylla, CIV,DF,Club Brugge,19,2002,6,492,82.0,68.3,5.5,6,82.0,3,0,,1,1.67,7.0,9.0,-2.0,-0.37,0.03,6.0,12.3,-6.3,-1.15,-0.12
Wojciech Szczęsny, POL,GK,Juventus,32,1990,4,360,90.0,66.7,4.0,4,90.0,4,0,,0,0.75,7.0,9.0,-2.0,-0.5,0.5,6.8,6.7,0.1,0.02,1.05
Dominik Szoboszlai, HUN,FW,RB Leipzig,21,2000,8,653,82.0,90.7,7.3,8,82.0,4,0,,0,1.63,12.0,16.0,-4.0,-0.55,-1.89,11.0,11.3,-0.3,-0.04,0.64
Christian Sørensen, DEN,"DF,MF",FC Copenhagen,29,1992,5,102,20.0,18.9,1.1,1,57.0,0,4,11.0,1,0.4,1.0,4.0,-3.0,-2.65,-1.0,1.7,2.0,-0.3,-0.26,1.0
Dušan Tadić, SRB,FW,Ajax,33,1988,5,432,86.0,80.0,4.8,5,86.0,4,0,,0,1.2,9.0,11.0,-2.0,-0.42,2.08,6.7,8.2,-1.5,-0.31,1.68
Jonathan Tah, GER,DF,Leverkusen,26,1996,6,481,80.0,89.1,5.3,5,90.0,5,1,31.0,0,0.83,2.0,6.0,-4.0,-0.75,-0.75,8.1,6.5,1.6,0.3,0.41
Chemsdine Talbi, BEL,MF,Club Brugge,17,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
Japhet Tanganga, ENG,DF,Tottenham,23,1999,1,18,18.0,2.5,0.2,0,,0,1,18.0,5,3.0,2.0,0.0,2.0,10.0,10.13,0.7,0.2,0.5,2.36,2.27
Edmond Tapsoba, BFA,DF,Leverkusen,23,1999,5,349,70.0,64.6,3.9,4,82.0,2,1,22.0,1,1.0,4.0,4.0,0.0,0.0,1.88,5.4,3.6,1.8,0.46,0.59
Mehdi Taremi, IRN,FW,Porto,30,1992,7,611,87.0,84.9,6.8,7,87.0,4,0,,0,1.86,11.0,1.0,10.0,1.47,6.43,13.3,7.4,5.9,0.87,2.54
Ciprian Tătărușanu, ROU,GK,Milan,36,1986,5,450,90.0,41.7,5.0,5,90.0,5,0,,0,1.8,9.0,5.0,4.0,0.8,0.8,7.6,6.0,1.5,0.3,0.24
Nuno Tavares, POR,DF,Marseille,22,2000,6,540,90.0,100.0,6.0,6,90.0,6,0,,0,1.0,8.0,8.0,0.0,0.0,,8.6,5.1,3.5,0.59,
James Tavernier, ENG,DF,Rangers,30,1991,6,486,81.0,90.0,5.4,6,81.0,4,0,,0,0.7,2.0,19.0,-17.0,-3.15,1.85,4.8,12.7,-7.9,-1.47,1.0
Greg Taylor, SCO,DF,Celtic,24,1997,6,540,90.0,100.0,6.0,6,90.0,6,0,,0,0.33,4.0,15.0,-11.0,-1.83,,9.2,10.9,-1.7,-0.29,
Kenneth Taylor, NED,MF,Ajax,20,2002,6,417,70.0,77.2,4.6,5,78.0,1,1,28.0,0,1.0,9.0,10.0,-1.0,-0.22,2.71,6.1,7.7,-1.6,-0.34,1.37
Lucas Taylor, BRA,DF,Shakhtar,27,1995,5,312,62.0,57.8,3.5,3,90.0,3,2,21.0,1,1.2,6.0,6.0,0.0,0.0,0.79,2.4,5.7,-3.3,-0.97,0.52
Mavis Tchibota, CGO,FW,Maccabi Haifa,26,1996,4,93,23.0,17.2,1.0,1,59.0,0,3,11.0,2,1.2,0.0,6.0,-6.0,-5.81,-4.2,0.5,2.6,-2.1,-2.03,-1.77
Aurélien Tchouaméni, FRA,MF,Real Madrid,22,2000,10,432,43.0,40.0,4.8,5,76.0,2,5,10.0,0,2.0,9.0,6.0,3.0,0.62,-0.76,9.1,5.9,3.2,0.66,0.22
Mathys Tel, FRA,FW,Bayern Munich,17,2005,5,145,29.0,16.1,1.6,0,,0,5,29.0,5,2.6,3.0,2.0,1.0,0.62,-1.17,4.2,1.6,2.6,1.59,0.89
Alex Telles, BRA,"DF,FW",Sevilla,29,1992,6,391,65.0,72.4,4.3,4,82.0,3,2,33.0,0,0.83,4.0,8.0,-4.0,-0.92,0.29,4.2,7.4,-3.3,-0.75,0.17
Arnau Tenas, ESP,GK,Barcelona,21,2001,0,,,,,0,,0,0,,6,,,,,,,,,,,
Casper Tengstedt, DEN,FW,Benfica,22,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,
Marc-André ter Stegen, GER,GK,Barcelona,30,1992,5,450,90.0,83.3,5.0,5,90.0,5,0,,1,0.8,8.0,10.0,-2.0,-0.4,-2.4,7.6,6.8,0.8,0.17,0.41
Kévin Théophile-Catherine, FRA,DF,Dinamo Zagreb,32,1989,1,75,75.0,13.9,0.8,1,75.0,0,0,,5,0.5,0.0,1.0,-1.0,-1.2,-0.04,0.5,1.8,-1.3,-1.54,-0.18
Malick Thiaw, GER,DF,Milan,20,2001,4,275,69.0,25.5,3.1,3,81.0,2,1,32.0,2,1.0,1.0,0.0,1.0,0.33,-0.01,3.8,1.4,2.4,0.78,0.82
Mohamed Tijani, BEN,DF,Viktoria Plzeň,25,1997,3,168,56.0,31.1,1.9,2,70.0,1,1,28.0,2,0.75,2.0,6.0,-4.0,-2.14,1.49,1.5,5.4,-4.0,-2.13,-0.78
Malik Tillman, USA,MF,Rangers,20,2002,5,244,49.0,45.2,2.7,4,59.0,0,1,9.0,1,0.78,0.0,11.0,-11.0,-4.06,-1.32,0.8,7.4,-6.7,-2.45,-1.61
Jurriën Timber, NED,DF,Ajax,21,2001,6,529,88.0,98.0,5.9,6,88.0,5,0,,0,1.0,11.0,15.0,-4.0,-0.68,7.5,8.3,11.7,-3.4,-0.58,3.57
João Tomé, POR,FW,Benfica,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Fikayo Tomori, ENG,DF,Milan,24,1997,10,827,83.0,76.6,9.2,10,83.0,9,0,,0,1.2,10.0,9.0,1.0,0.11,-0.96,11.2,11.2,-0.1,-0.01,-0.73
Sandro Tonali, ITA,MF,Milan,22,2000,12,"1,051",88.0,97.3,11.7,12,88.0,10,0,,0,1.5,14.0,11.0,3.0,0.26,-2.85,15.9,14.5,1.4,0.12,-1.6
Dmytro Topalov, UKR,MF,Shakhtar,24,1998,0,,,,,0,,0,0,,6,,,,,,,,,,,
Pablo Torre, ESP,"MF,FW",Barcelona,19,2003,3,95,32.0,17.6,1.1,1,76.0,0,2,10.0,2,2.0,4.0,3.0,1.0,0.95,1.15,2.4,2.7,-0.4,-0.36,-0.55
Ferrán Torres, ESP,"FW,MF",Barcelona,22,2000,5,188,38.0,34.8,2.1,1,90.0,1,4,25.0,1,1.4,7.0,4.0,3.0,1.44,2.2,3.7,4.6,-0.9,-0.44,-0.83
Andriy Totovytskyi, UKR,MF,Shakhtar,29,1993,1,17,17.0,3.1,0.2,0,,0,1,17.0,1,0.0,0.0,0.0,0.0,0.0,0.34,0.2,0.1,0.1,0.62,1.87
Almamy Touré, MLI,DF,Eint Frankfurt,26,1996,0,,,,,0,,0,0,,2,,,,,,,,,,,
Kevin Trapp, GER,GK,Eint Frankfurt,32,1990,8,720,90.0,100.0,8.0,8,90.0,8,0,,0,1.25,7.0,13.0,-6.0,-0.75,,8.0,12.9,-4.9,-0.61,
Francisco Trincão, POR,"MF,FW",Sporting CP,22,1999,6,386,64.0,71.5,4.3,5,72.0,1,1,28.0,0,1.17,4.0,7.0,-3.0,-0.7,-1.87,2.1,6.4,-4.3,-1.0,0.0
Anatolii Trubin, UKR,GK,Shakhtar,20,2001,6,540,90.0,100.0,6.0,6,90.0,6,0,,0,1.0,8.0,10.0,-2.0,-0.33,,3.7,10.9,-7.1,-1.19,
Kostas Tsimikas, GRE,DF,Liverpool,26,1996,6,342,57.0,47.5,3.8,4,84.0,3,2,3.0,2,2.5,9.0,2.0,7.0,1.84,1.84,8.8,1.8,7.0,1.84,2.53
David Turnbull, SCO,MF,Celtic,23,1999,5,103,21.0,19.1,1.1,0,,0,5,21.0,0,0.4,1.0,4.0,-3.0,-2.62,-0.97,2.6,1.8,0.8,0.74,1.27
Tuta, BRA,DF,Eint Frankfurt,23,1999,7,599,86.0,83.2,6.7,7,86.0,6,0,,0,1.0,4.0,12.0,-8.0,-1.2,-2.69,6.5,11.3,-4.8,-0.72,-0.66
Marián Tvrdoň, SVK,GK,Viktoria Plzeň,27,1994,1,90,90.0,16.7,1.0,1,90.0,1,0,,5,0.0,0.0,5.0,-5.0,-5.0,-2.2,0.5,2.4,-1.9,-1.95,-0.43
Manuel Ugarte Ribeiro, URU,MF,Sporting CP,21,2001,6,467,78.0,86.5,5.2,6,78.0,4,0,,0,1.17,8.0,7.0,1.0,0.19,2.66,3.5,8.2,-4.7,-0.91,0.7
Andreas Ulmer, AUT,DF,RB Salzburg,36,1985,6,375,63.0,69.4,4.2,4,87.0,3,2,14.0,0,1.0,4.0,4.0,0.0,0.0,2.18,5.3,3.7,1.6,0.39,0.53
Sven Ulreich, GER,GK,Bayern Munich,33,1988,3,270,90.0,30.0,3.0,3,90.0,3,0,,7,3.0,9.0,2.0,7.0,2.33,1.05,6.6,2.7,3.9,1.3,0.65
Luca Unbehaun, GER,GK,Dortmund,21,2001,0,,,,,0,,0,0,,5,,,,,,,,,,,
Cengiz Ünder, TUR,MF,Marseille,25,1997,6,173,29.0,32.0,1.9,1,61.0,0,5,22.0,0,1.0,3.0,2.0,1.0,0.52,0.77,3.9,1.6,2.4,1.25,0.96
Dayot Upamecano, FRA,DF,Bayern Munich,23,1998,10,713,71.0,79.2,7.9,9,77.0,5,1,16.0,0,2.5,18.0,5.0,13.0,1.64,0.2,14.8,9.5,5.3,0.67,-0.83
Mateus Uribe, COL,MF,Porto,31,1991,7,610,87.0,84.7,6.8,7,87.0,4,0,,0,1.43,9.0,7.0,2.0,0.3,-1.34,11.0,10.5,0.5,0.08,-2.65
Enrique Valiente, ESP,DF,Sevilla,20,2002,2,180,90.0,33.3,2.0,2,90.0,2,0,,4,0.5,1.0,4.0,-3.0,-1.5,-0.75,2.8,3.1,-0.3,-0.16,0.96
Álex Valle, ESP,DF,Barcelona,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Jesús Vallejo, ESP,DF,Real Madrid,25,1997,1,18,18.0,1.7,0.2,0,,0,1,18.0,10,3.0,0.0,1.0,-1.0,-5.0,-6.19,0.4,0.2,0.2,1.11,0.58
Federico Valverde, URU,"MF,FW",Real Madrid,24,1998,11,967,88.0,89.5,10.7,11,88.0,10,0,,0,2.36,23.0,10.0,13.0,1.21,1.21,19.7,13.6,6.2,0.58,0.41
Ignace Van Der Brempt, BEL,DF,RB Salzburg,20,2002,0,,,,,0,,0,0,,6,,,,,,,,,,,
Virgil van Dijk, NED,DF,Liverpool,31,1991,8,720,90.0,100.0,8.0,8,90.0,8,0,,0,1.88,19.0,12.0,7.0,0.87,,14.7,10.6,4.1,0.51,
Hans Vanaken, BEL,MF,Club Brugge,29,1992,8,703,88.0,97.6,7.8,8,88.0,7,0,,0,1.38,7.0,10.0,-3.0,-0.38,-0.38,7.8,16.8,-9.0,-1.15,-1.54
Denis Vavro, SVK,DF,FC Copenhagen,26,1996,4,360,90.0,66.7,4.0,4,90.0,4,0,,0,1.0,1.0,9.0,-8.0,-2.0,-0.5,3.4,8.5,-5.1,-1.28,-0.66
Lucas Vázquez, ESP,DF,Real Madrid,31,1991,5,202,40.0,18.7,2.2,2,79.0,1,3,15.0,6,1.4,3.0,5.0,-2.0,-0.89,-2.43,2.8,2.7,0.1,0.03,-0.62
